task_num,method,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
10,FS,215.51666666666668,57.64252539977128,407.9444444444444,100.87534338330309,207.39027777777775,120.28280385816154,1.2021666666666668,0.43497021782586476
10,NNF,108.5,29.124804502144485,229.58333333333334,53.481982991546765,101.4587962962963,60.80077371049998,7.5320833333333335,2.5590440501415705
10,AStarOnly,108.8,29.469777681722835,230.08333333333334,53.98997692429821,99.28750000000001,58.796075062852715,7.542016666666666,2.5819987166144895
10,Proposed,145.91666666666666,40.57689568309577,291.94444444444446,72.3223628502003,90.25925925925927,57.06054093992485,7.468366666666666,2.335144963138275
20,FS,433.1333333333333,85.40778884551587,821.4722222222222,144.2462360564287,448.74544753086417,166.5854688343406,2.311083333333334,0.5950764739821309
20,NNF,164.51666666666668,30.137814338590392,373.77777777777766,52.28117040011178,173.0099977954145,54.26441018026477,27.37438333333333,6.2542749395958355
20,AStarOnly,167.45,29.732949821448017,378.6666666666667,51.686983430265386,168.68113977072315,55.383022784349926,27.614433333333334,6.274899943470412
20,Proposed,260.9,53.39418491793696,534.4166666666667,90.7837940896017,159.20092592592593,63.88794461466399,26.39653333333333,5.498551715222088
30,FS,657.4166666666666,99.02735312360251,1245.6944444444446,165.04558853933747,654.0995563849731,142.56662396240318,3.4819166666666663,0.7794536176645762
30,NNF,211.65,38.587266275859285,502.75000000000006,64.31211045976548,232.1249386416053,61.22393681272398,59.76825,12.354288544668012
30,AStarOnly,213.43333333333334,37.98588795349951,505.7222222222223,63.309813255832516,239.95133901592237,67.1334177854458,60.365316666666665,11.9750750671603
30,Proposed,376.4,62.706526570814546,777.3333333333334,104.51087761802427,221.3093298676632,62.23162253360812,57.995999999999995,9.701810647013703
