method,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
FS,435.35555555555555,198.6505205091905,825.0370370370372,369.8938712169473,436.7450938978717,232.66163425855328,2.331722222222222,1.1183014307449524
NNF,161.55555555555554,53.45454103993591,368.70370370370364,125.40370012910059,168.86457757777202,79.33909762746404,31.55823888888889,23.053644606580622
AStarOnly,163.2277777777778,53.82465121887018,371.49074074074065,126.18199654255602,169.3066595955485,83.38048804687803,31.840588888888888,23.21789342230919
Proposed,261.0722222222222,108.08185551812498,534.5648148148148,218.00726671190526,156.9231716842828,81.09244307257202,30.620300000000004,21.900713542851374
