method,replanning_count_mean,replanning_count_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,high_risk_avg_response_time_mean,high_risk_avg_response_time_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std
AStarOnly,0.0,0.0,26.25,25.54593958420332,140.86805555555557,64.0610583008666,165.14537037037036,68.79914348091867,155.95,42.01061895834383,356.4166666666667,83.52657419343394
FS,0.0,0.0,21.25,23.17537385278551,296.63888888888886,129.22011721847772,390.20972222222224,123.69936874032294,386.55,99.63907234033299,740.75,180.09620155035338
NNF,0.0,0.0,22.5,18.75121828400765,141.0625,61.88900954545861,171.6675925925926,65.57447716900789,152.8,40.72966072971754,351.16666666666663,81.50826026377983
Proposed,1.0,0.0,66.25,23.33255011216824,101.80555555555557,36.859568113767466,150.76967592592592,71.51882691389811,249.25,65.95682399554232,511.9166666666667,123.56104512080262
