run_id,seed,map_size,obstacle_ratio,task_num,method,total_path_length,total_inspection_time,high_priority_avg_response_time,completed_task_num,task_sequence,algorithm_runtime_ms
449,1412,30x30,0.2,30,FS,705.0,1325.0,607.0,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,3.788
450,1412,30x30,0.2,30,NNF,190.0,466.66666666666663,242.49999999999994,30,P9 -> P26 -> P19 -> P5 -> P7 -> P22 -> P11 -> P27 -> P10 -> P12 -> P1 -> P20 -> P8 -> P23 -> P30 -> P29 -> P4 -> P14 -> P16 -> P3 -> P2 -> P24 -> P28 -> P17 -> P21 -> P25 -> P18 -> P13 -> P6 -> P15,48.234
451,1412,30x30,0.2,30,AStarOnly,204.0,490.00000000000006,255.8333333333334,30,P9 -> P26 -> P19 -> P5 -> P7 -> P22 -> P11 -> P27 -> P10 -> P12 -> P29 -> P14 -> P4 -> P8 -> P23 -> P30 -> P17 -> P20 -> P1 -> P21 -> P25 -> P18 -> P13 -> P6 -> P15 -> P28 -> P24 -> P2 -> P3 -> P16,58.653
452,1412,30x30,0.2,30,Proposed,312.0,669.9999999999999,263.49999999999994,30,P7 -> P9 -> P26 -> P19 -> P10 -> P18 -> P17 -> P30 -> P1 -> P29 -> P12 -> P21 -> P11 -> P22 -> P13 -> P15 -> P6 -> P25 -> P5 -> P24 -> P2 -> P28 -> P16 -> P23 -> P8 -> P20 -> P4 -> P14 -> P27 -> P3,64.243
453,1413,30x30,0.2,30,FS,805.0,1491.6666666666665,590.7407407407406,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,5.126
454,1413,30x30,0.2,30,NNF,219.0,515.0,295.9259259259259,30,P25 -> P6 -> P15 -> P19 -> P16 -> P8 -> P20 -> P30 -> P4 -> P21 -> P1 -> P13 -> P28 -> P10 -> P18 -> P23 -> P12 -> P29 -> P7 -> P26 -> P14 -> P5 -> P9 -> P17 -> P3 -> P27 -> P2 -> P11 -> P24 -> P22,66.979
455,1413,30x30,0.2,30,AStarOnly,241.0,551.6666666666666,304.25925925925924,30,P30 -> P8 -> P16 -> P20 -> P19 -> P15 -> P6 -> P2 -> P27 -> P11 -> P24 -> P22 -> P25 -> P21 -> P4 -> P12 -> P29 -> P7 -> P26 -> P28 -> P10 -> P18 -> P23 -> P1 -> P13 -> P17 -> P9 -> P3 -> P5 -> P14,64.532
456,1413,30x30,0.2,30,Proposed,389.0,798.3333333333336,294.07407407407413,30,P2 -> P11 -> P17 -> P14 -> P28 -> P26 -> P7 -> P29 -> P4 -> P21 -> P8 -> P30 -> P16 -> P22 -> P24 -> P19 -> P27 -> P9 -> P3 -> P5 -> P10 -> P23 -> P1 -> P13 -> P15 -> P20 -> P12 -> P18 -> P6 -> P25,61.271
457,1414,30x30,0.2,30,FS,607.0,1161.6666666666667,705.2777777777777,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,2.743
458,1414,30x30,0.2,30,NNF,191.0,468.33333333333326,247.5,30,P26 -> P18 -> P11 -> P7 -> P16 -> P2 -> P20 -> P30 -> P17 -> P28 -> P29 -> P14 -> P10 -> P21 -> P13 -> P1 -> P22 -> P3 -> P5 -> P6 -> P27 -> P8 -> P25 -> P23 -> P12 -> P15 -> P24 -> P19 -> P4 -> P9,56.046
459,1414,30x30,0.2,30,AStarOnly,213.0,505.0,279.44444444444446,30,P26 -> P16 -> P7 -> P11 -> P18 -> P2 -> P4 -> P22 -> P5 -> P3 -> P6 -> P27 -> P8 -> P25 -> P23 -> P12 -> P15 -> P19 -> P24 -> P29 -> P14 -> P28 -> P17 -> P30 -> P20 -> P21 -> P13 -> P1 -> P10 -> P9,49.386
460,1414,30x30,0.2,30,Proposed,330.0,700.0000000000002,193.8888888888889,30,P26 -> P20 -> P28 -> P17 -> P15 -> P16 -> P24 -> P19 -> P25 -> P8 -> P27 -> P3 -> P13 -> P1 -> P10 -> P29 -> P4 -> P14 -> P21 -> P22 -> P6 -> P23 -> P11 -> P18 -> P7 -> P2 -> P30 -> P9 -> P12 -> P5,52.22
461,1415,30x30,0.2,30,FS,651.0,1235.0000000000002,740.6666666666667,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,3.586
462,1415,30x30,0.2,30,NNF,221.0,518.3333333333334,330.33333333333337,30,P4 -> P19 -> P24 -> P1 -> P6 -> P18 -> P14 -> P5 -> P13 -> P30 -> P11 -> P9 -> P22 -> P29 -> P8 -> P17 -> P15 -> P23 -> P21 -> P28 -> P16 -> P12 -> P2 -> P25 -> P3 -> P10 -> P20 -> P7 -> P26 -> P27,66.991
463,1415,30x30,0.2,30,AStarOnly,227.0,528.3333333333334,197.16666666666669,30,P4 -> P19 -> P24 -> P1 -> P6 -> P2 -> P12 -> P16 -> P23 -> P21 -> P17 -> P8 -> P29 -> P22 -> P9 -> P11 -> P27 -> P15 -> P28 -> P25 -> P3 -> P10 -> P20 -> P7 -> P26 -> P18 -> P14 -> P5 -> P30 -> P13,63.147
464,1415,30x30,0.2,30,Proposed,376.0,776.6666666666667,255.16666666666666,30,P20 -> P12 -> P19 -> P2 -> P21 -> P8 -> P28 -> P27 -> P5 -> P14 -> P13 -> P29 -> P23 -> P16 -> P7 -> P4 -> P6 -> P24 -> P1 -> P18 -> P30 -> P11 -> P22 -> P9 -> P15 -> P17 -> P25 -> P3 -> P10 -> P26,60.844
465,1416,30x30,0.2,30,FS,598.0,1146.666666666667,580.7142857142859,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,3.299
466,1416,30x30,0.2,30,NNF,224.0,523.3333333333333,310.7142857142857,30,P19 -> P1 -> P10 -> P13 -> P24 -> P27 -> P28 -> P20 -> P2 -> P11 -> P6 -> P17 -> P3 -> P29 -> P4 -> P7 -> P23 -> P9 -> P16 -> P14 -> P15 -> P25 -> P26 -> P8 -> P30 -> P21 -> P22 -> P12 -> P5 -> P18,52.712
467,1416,30x30,0.2,30,AStarOnly,237.0,545.0,350.2380952380953,30,P19 -> P10 -> P13 -> P24 -> P27 -> P28 -> P20 -> P6 -> P11 -> P2 -> P8 -> P15 -> P25 -> P26 -> P14 -> P9 -> P16 -> P7 -> P23 -> P4 -> P29 -> P3 -> P30 -> P21 -> P17 -> P12 -> P5 -> P18 -> P22 -> P1,54.165
468,1416,30x30,0.2,30,Proposed,368.0,763.3333333333334,298.09523809523813,30,P19 -> P6 -> P28 -> P14 -> P15 -> P27 -> P24 -> P11 -> P2 -> P4 -> P21 -> P30 -> P3 -> P13 -> P29 -> P17 -> P8 -> P20 -> P1 -> P5 -> P18 -> P12 -> P10 -> P7 -> P23 -> P9 -> P26 -> P25 -> P16 -> P22,59.388
469,1417,30x30,0.2,30,FS,632.0,1203.3333333333335,428.3333333333334,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,3.35
470,1417,30x30,0.2,30,NNF,180.0,450.0,159.16666666666666,30,P8 -> P30 -> P19 -> P26 -> P6 -> P7 -> P25 -> P24 -> P1 -> P10 -> P21 -> P11 -> P28 -> P16 -> P5 -> P15 -> P23 -> P12 -> P20 -> P3 -> P4 -> P14 -> P18 -> P13 -> P9 -> P2 -> P29 -> P22 -> P17 -> P27,57.701
471,1417,30x30,0.2,30,AStarOnly,202.0,486.6666666666666,161.94444444444443,30,P8 -> P30 -> P19 -> P26 -> P6 -> P7 -> P25 -> P21 -> P10 -> P1 -> P20 -> P12 -> P15 -> P5 -> P23 -> P28 -> P16 -> P11 -> P3 -> P4 -> P14 -> P18 -> P13 -> P29 -> P2 -> P9 -> P22 -> P17 -> P27 -> P24,60.939
472,1417,30x30,0.2,30,Proposed,331.0,701.6666666666666,145.00000000000003,30,P8 -> P7 -> P6 -> P1 -> P20 -> P12 -> P15 -> P23 -> P5 -> P28 -> P2 -> P18 -> P30 -> P26 -> P4 -> P14 -> P9 -> P17 -> P22 -> P13 -> P29 -> P27 -> P16 -> P24 -> P21 -> P10 -> P11 -> P25 -> P19 -> P3,52.794
473,1418,30x30,0.2,30,FS,748.0,1396.6666666666663,1106.333333333333,30,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10 -> P11 -> P12 -> P13 -> P14 -> P15 -> P16 -> P17 -> P18 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> P27 -> P28 -> P29 -> P30,3.692
