method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,replanning_count_mean,replanning_count_std
FS,19.933333333333334,0.2537081317024624,428.8,54.4023326071911,814.3333333333334,91.10496661833943,421.1180555555556,125.3713740781563,18.333333333333332,20.692049669866684,343.44444444444446,98.94189569065672,0,0.0
NNF,19.933333333333334,0.2537081317024624,164.3,20.861034457109014,373.5,35.35357802156951,182.03709315375983,56.742106094205624,34.166666666666664,27.451629350969107,139.95833333333334,48.49351059598977,0,0.0
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,28.333333333333332,22.488822255440184,149.0,43.501497309853995,0,0.0
Proposed-Balanced,19.933333333333334,0.2537081317024624,244.33333333333334,33.05620431444241,506.8888888888889,55.60488231639537,174.91735409652077,62.20806247194837,53.333333333333336,19.401978806534025,140.72222222222223,40.6461127474877,1,0.0
