seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,priority_response_efficiency,task_sequence
2,DRF-RH-NoPathTimePenalty,20,258.0,530.0,146.0,183.5498685335565,80.0,80.1104599959217,0.31007751937984496,P20->P5->P7->P11->P1->P15->P8->P14->P18->P4->P6->P13->P3->P2->P10->P17->P19->P9->P12->P16
2,DRF-RH-NoPriorityCompletion,20,238.0,496.6666666666667,141.0,194.06286904691157,100.0,81.8138689501211,0.42016806722689076,P20->P5->P7->P11->P15->P14->P18->P4->P6->P13->P3->P1->P2->P10->P8->P12->P17->P9->P19->P16
2,DRF-RH-NoDeadlinePenalty,20,182.0,403.3333333333333,107.66666666666667,152.02649151140398,100.0,84.77356703951955,0.5494505494505495,P20->P13->P5->P7->P4->P18->P14->P8->P15->P2->P10->P12->P1->P11->P3->P17->P6->P19->P9->P16
2,DRF-RH-NoTopKBonus,20,190.0,416.66666666666663,166.66666666666669,179.1447525856686,80.0,78.2675520167686,0.42105263157894735,P20->P5->P7->P3->P11->P1->P15->P8->P14->P17->P4->P18->P6->P19->P9->P2->P10->P12->P13->P16
2,DRF-RH-NoHybridPool,20,182.0,403.3333333333333,107.66666666666667,152.02649151140398,100.0,72.95563601655886,0.5494505494505495,P20->P13->P5->P7->P4->P18->P14->P8->P15->P2->P10->P12->P1->P11->P3->P17->P6->P19->P9->P16
2,DRF-RH-NoDynamicRiskField,20,182.0,403.3333333333333,107.66666666666667,152.02649151140398,100.0,78.26751802349463,0.5494505494505495,P20->P13->P5->P7->P4->P18->P14->P8->P15->P2->P10->P12->P1->P11->P3->P17->P6->P19->P9->P16
3,DRF-RH-Full,19,193.0,416.6666666666667,107.77777777777779,164.56675898479855,80.0,90.62536503188312,0.41450777202072536,P9->P16->P1->P14->P15->P12->P17->P13->P18->P2->P20->P5->P19->P3->P8->P7->P6->P10->P4
3,DRF-RH-Horizon1,19,177.0,390.0,105.83333333333336,160.66751326902707,80.0,47.400907962583005,0.4519774011299435,P10->P9->P1->P16->P15->P2->P20->P5->P18->P13->P17->P12->P3->P14->P8->P7->P6->P4->P19
3,DRF-RH-BaseScoreOnly,19,337.0,656.6666666666667,136.66666666666666,232.25313762932942,80.0,89.62121402146295,0.23738872403560832,P9->P1->P12->P16->P15->P7->P2->P13->P17->P14->P3->P8->P10->P18->P5->P19->P6->P20->P4
3,DRF-RH-NoPathTimePenalty,19,249.0,510.0,89.44444444444444,167.74820901225624,100.0,91.89619502285495,0.40160642570281124,P9->P16->P1->P15->P2->P13->P17->P12->P3->P8->P14->P7->P6->P19->P5->P18->P10->P4->P20
3,DRF-RH-NoPriorityCompletion,19,215.0,453.33333333333337,106.11111111111113,173.20138971136177,100.0,92.02650998486206,0.46511627906976744,P1->P9->P16->P15->P2->P14->P3->P12->P19->P13->P17->P18->P5->P20->P8->P7->P6->P10->P4
3,DRF-RH-NoDeadlinePenalty,19,193.0,416.6666666666667,107.77777777777779,164.56675898479855,80.0,91.22114797355607,0.41450777202072536,P9->P16->P1->P14->P15->P12->P17->P13->P18->P2->P20->P5->P19->P3->P8->P7->P6->P10->P4
3,DRF-RH-NoTopKBonus,19,191.0,413.3333333333333,116.94444444444446,160.2794200955295,80.0,89.86575400922447,0.418848167539267,P9->P16->P1->P14->P15->P12->P3->P19->P17->P13->P18->P5->P2->P20->P8->P7->P6->P10->P4
3,DRF-RH-NoHybridPool,19,195.0,420.0,113.33333333333333,158.13702394408622,80.0,85.19637398421764,0.41025641025641024,P9->P16->P1->P14->P15->P12->P3->P8->P2->P20->P5->P17->P13->P18->P19->P7->P6->P10->P4
3,DRF-RH-NoDynamicRiskField,19,193.0,416.6666666666667,107.77777777777779,164.56675898479855,80.0,92.11437299381942,0.41450777202072536,P9->P16->P1->P14->P15->P12->P17->P13->P18->P2->P20->P5->P19->P3->P8->P7->P6->P10->P4
4,DRF-RH-Full,20,223.0,471.6666666666667,118.33333333333334,204.41485658647827,20.0,88.50662299664691,0.08968609865470852,P20->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P10->P15->P13->P2->P18->P19->P14->P4
4,DRF-RH-Horizon1,20,199.0,431.6666666666667,123.33333333333331,211.01219926122903,0.0,36.902467953041196,0.0,P20->P10->P9->P11->P17->P3->P5->P6->P16->P8->P12->P7->P1->P4->P14->P19->P18->P15->P13->P2
4,DRF-RH-BaseScoreOnly,20,489.0,914.9999999999999,150.0,360.2151611884312,20.0,85.1146740023978,0.0408997955010225,P11->P9->P20->P3->P12->P17->P5->P16->P6->P1->P19->P7->P15->P8->P18->P10->P13->P14->P4->P2
4,DRF-RH-NoPathTimePenalty,20,333.0,654.9999999999999,118.33333333333334,237.29229765844175,20.0,87.74183201603591,0.06006006006006006,P20->P9->P11->P17->P3->P12->P5->P16->P19->P1->P7->P8->P6->P15->P13->P18->P10->P4->P14->P2
4,DRF-RH-NoPriorityCompletion,20,235.0,491.66666666666674,130.0,200.73469114261337,0.0,89.28683097474277,0.0,P20->P9->P11->P17->P16->P3->P5->P6->P8->P12->P7->P1->P10->P13->P15->P18->P19->P14->P4->P2
4,DRF-RH-NoDeadlinePenalty,20,223.0,471.6666666666667,118.33333333333334,204.41485658647827,20.0,87.12946798186749,0.08968609865470852,P20->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P10->P15->P13->P2->P18->P19->P14->P4
4,DRF-RH-NoTopKBonus,20,221.0,468.33333333333337,123.33333333333331,204.4539619736262,0.0,86.23892202740535,0.0,P20->P10->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P15->P13->P2->P18->P19->P14->P4
4,DRF-RH-NoHybridPool,20,223.0,471.6666666666667,118.33333333333334,204.41485658647827,20.0,76.0466149658896,0.08968609865470852,P20->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P10->P15->P13->P2->P18->P19->P14->P4
4,DRF-RH-NoDynamicRiskField,20,223.0,471.6666666666667,118.33333333333334,204.41485658647827,20.0,86.40644000843167,0.08968609865470852,P20->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P10->P15->P13->P2->P18->P19->P14->P4
5,DRF-RH-Full,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,87.75525901000947,0.3137254901960784,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-Horizon1,20,243.0,504.99999999999994,128.88888888888889,191.61021041919437,60.0,36.593450990039855,0.24691358024691357,P14->P15->P12->P6->P9->P5->P19->P1->P7->P4->P8->P17->P11->P13->P16->P2->P10->P18->P3->P20
5,DRF-RH-BaseScoreOnly,20,511.0,951.6666666666667,268.33333333333337,392.10213851507996,60.0,85.58939496288076,0.11741682974559686,P6->P7->P14->P19->P4->P9->P10->P17->P1->P18->P8->P12->P16->P5->P11->P15->P2->P13->P3->P20
5,DRF-RH-NoPathTimePenalty,20,293.0,588.3333333333333,100.83333333333333,198.58654420131333,80.0,86.72614302486181,0.27303754266211605,P14->P6->P9->P1->P4->P7->P8->P19->P10->P18->P12->P15->P16->P17->P11->P13->P5->P3->P2->P20
5,DRF-RH-NoPriorityCompletion,20,265.0,541.6666666666667,109.16666666666667,209.30051411625917,80.0,87.4357700231485,0.3018867924528302,P14->P6->P9->P7->P4->P1->P8->P19->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-NoDeadlinePenalty,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,87.5527510070242,0.3137254901960784,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-NoTopKBonus,20,255.0,525.0,122.77777777777777,196.16577043141712,60.0,88.08921597665176,0.23529411764705882,P14->P9->P6->P10->P18->P19->P1->P4->P7->P8->P5->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-NoHybridPool,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,82.05436600837857,0.3137254901960784,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-NoDynamicRiskField,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,87.90119999321178,0.3137254901960784,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
6,DRF-RH-Full,20,229.0,481.66666666666674,146.66666666666669,159.19364776908333,40.0,88.20497401757166,0.17467248908296942,P10->P17->P5->P2->P18->P20->P13->P4->P12->P16->P9->P15->P3->P6->P11->P8->P1->P7->P14->P19
6,DRF-RH-Horizon1,20,197.0,428.3333333333334,142.66666666666669,166.4380703335153,40.0,36.48292401339859,0.20304568527918782,P10->P17->P5->P2->P15->P20->P13->P12->P16->P9->P14->P4->P18->P7->P3->P6->P11->P8->P1->P19
