method,horizon,beam_width,candidate_pool_size,reachable_task_count_mean,reachable_task_count_std,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
RH-v2-Full,4,8,10,27.879166666666666,11.884291490866774,27.879166666666666,11.884291490866774,373.95,173.8950700781639,762.6458333333334,338.08341730066553,172.7773800851926,85.27091010068537,283.68534354007704,120.35875836073929,56.666666666666664,27.78679537497262,266.40023543222924,212.07574002398601
RH-v2-Medium,3,6,8,27.879166666666666,11.884291490866774,27.879166666666666,11.884291490866774,368.7875,166.53540921053548,754.0416666666666,325.6648003398298,177.6025891932142,88.29125706766473,281.5045651883634,117.67141551411203,54.0,27.45555556496268,238.2589369432632,194.67148525766433
RH-v2-Light,3,5,6,27.879166666666666,11.884291490866774,27.879166666666666,11.884291490866774,369.5208333333333,167.79747076745636,755.2638888888889,327.67420660364803,178.67435789519124,89.9189387441029,281.4086886435861,117.985934985562,54.416666666666664,27.935845012119174,228.1350074823422,187.72554499504903
RH-v2-Fast,2,5,6,27.879166666666666,11.884291490866774,27.879166666666666,11.884291490866774,363.7916666666667,162.38888165216204,745.7152777777778,318.2650111759611,183.68719779448946,90.58243794848374,275.39572157232544,114.28539755557517,50.833333333333336,28.448980490246907,218.58273431668445,181.48551228922503
