seed,weight_group,alpha,beta,lambda_abnormal,gamma,delta,eta,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,task_sequence
23,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,363.0,705.0,229.16666666666669,P13->P1->P12->P19->P5->P4->P15->P8->P18->P11->P6->P9->P14->P10->P20->P7->P2->P17->P3->P16
24,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,263.0,538.3333333333334,209.54545454545453,P6->P19->P2->P17->P11->P10->P9->P15->P14->P16->P12->P1->P13->P18->P8->P4->P3->P20->P7->P5
24,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,211.0,451.66666666666674,204.54545454545453,P6->P16->P14->P12->P11->P17->P2->P10->P9->P19->P13->P1->P18->P5->P8->P4->P3->P15->P20->P7
24,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,304.0,606.6666666666666,227.42424242424246,P19->P2->P11->P17->P9->P6->P14->P12->P15->P10->P8->P18->P1->P13->P4->P16->P20->P7->P5->P3
24,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,213.0,455.00000000000006,178.18181818181816,P6->P12->P14->P16->P2->P17->P11->P19->P10->P9->P15->P4->P8->P18->P5->P1->P13->P7->P3->P20
24,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,249.0,515.0,234.39393939393938,P19->P2->P11->P17->P9->P6->P12->P14->P16->P10->P8->P18->P1->P13->P4->P15->P20->P3->P7->P5
25,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,291.0,584.9999999999999,178.125,P2->P18->P16->P15->P19->P11->P5->P4->P1->P12->P7->P8->P10->P9->P3->P14->P20->P17->P6->P13
25,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,260.0,533.3333333333333,196.66666666666666,P2->P18->P16->P1->P4->P15->P19->P11->P5->P9->P3->P14->P20->P12->P10->P7->P8->P13->P6->P17
25,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,333.0,655.0000000000001,200.625,P16->P15->P12->P19->P11->P4->P1->P2->P18->P3->P17->P20->P5->P9->P6->P7->P8->P10->P14->P13
25,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,263.0,538.3333333333333,175.41666666666666,P2->P18->P16->P1->P4->P15->P19->P11->P5->P9->P12->P7->P8->P10->P6->P3->P14->P20->P17->P13
25,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,313.0,621.6666666666666,188.75000000000003,P16->P2->P18->P12->P15->P19->P11->P4->P1->P17->P20->P6->P3->P9->P5->P10->P7->P8->P14->P13
26,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,197.0,428.33333333333337,95.55555555555556,P1->P15->P4->P9->P2->P20->P17->P8->P5->P13->P10->P11->P16->P12->P19->P7->P14->P6->P18->P3
26,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,189.0,415.00000000000006,122.22222222222224,P1->P15->P19->P12->P4->P9->P2->P16->P20->P10->P8->P17->P5->P13->P11->P7->P14->P6->P18->P3
26,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,209.0,448.33333333333337,115.55555555555556,P1->P15->P4->P2->P20->P9->P12->P19->P5->P17->P8->P13->P10->P11->P16->P7->P14->P6->P18->P3
26,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,185.0,408.33333333333337,106.66666666666667,P1->P15->P19->P12->P4->P9->P2->P20->P17->P8->P5->P13->P10->P11->P16->P7->P14->P6->P18->P3
26,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,213.0,455.00000000000006,119.44444444444444,P1->P15->P4->P2->P20->P9->P12->P19->P5->P8->P17->P13->P10->P11->P16->P7->P14->P6->P18->P3
27,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,305.0,608.3333333333334,238.00000000000006,P2->P3->P1->P5->P18->P14->P19->P9->P15->P12->P17->P11->P4->P10->P6->P16->P7->P13->P8->P20
27,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,193.0,421.66666666666663,238.0,P7->P16->P1->P3->P13->P2->P6->P10->P18->P11->P17->P8->P19->P14->P15->P12->P20->P9->P5->P4
27,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,330.0,650.0,151.0,P2->P18->P5->P9->P19->P14->P10->P15->P12->P4->P3->P1->P16->P7->P6->P11->P17->P8->P20->P13
27,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,209.0,448.3333333333334,229.0,P2->P3->P1->P13->P16->P7->P6->P10->P18->P12->P11->P17->P8->P19->P14->P15->P9->P5->P4->P20
27,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,336.0,660.0,160.33333333333334,P2->P18->P5->P9->P19->P14->P10->P15->P12->P17->P11->P4->P3->P1->P16->P7->P6->P20->P8->P13
28,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,211.0,451.6666666666667,134.25925925925927,P13->P18->P6->P11->P3->P2->P9->P20->P16->P8->P10->P5->P14->P12->P19->P7->P4->P15->P1->P17
28,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,241.0,501.66666666666663,148.51851851851853,P13->P18->P11->P6->P14->P3->P2->P9->P20->P16->P8->P10->P5->P1->P4->P15->P7->P19->P12->P17
28,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,295.0,591.6666666666667,155.1851851851852,P18->P13->P2->P3->P8->P10->P16->P20->P9->P5->P14->P6->P11->P12->P7->P4->P15->P1->P19->P17
28,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,241.0,501.66666666666663,148.51851851851853,P13->P18->P6->P11->P14->P3->P2->P9->P20->P16->P8->P10->P5->P1->P4->P15->P7->P19->P12->P17
28,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,279.0,565.0,155.1851851851852,P18->P13->P2->P3->P8->P10->P16->P20->P9->P5->P14->P6->P11->P17->P4->P1->P7->P15->P19->P12
29,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,292.0,586.6666666666665,176.66666666666666,P10->P12->P20->P7->P19->P11->P13->P5->P8->P17->P4->P3->P18->P1->P9->P14->P15->P2->P6->P16
29,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,203.0,438.33333333333337,183.88888888888889,P13->P5->P12->P17->P4->P20->P10->P15->P16->P9->P8->P1->P3->P18->P7->P19->P11->P6->P2->P14
29,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,313.0,621.6666666666666,201.66666666666666,P10->P12->P20->P7->P19->P8->P5->P13->P2->P15->P17->P9->P1->P18->P3->P4->P16->P11->P6->P14
29,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,202.0,436.66666666666663,119.44444444444446,P13->P10->P12->P17->P20->P1->P8->P7->P19->P11->P2->P6->P3->P18->P4->P9->P14->P5->P16->P15
29,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,335.0,658.3333333333334,201.66666666666666,P10->P12->P20->P7->P19->P8->P5->P13->P2->P15->P17->P18->P9->P1->P3->P4->P16->P11->P6->P14
