method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,high_risk_avg_response_time_mean,high_risk_avg_response_time_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,risk_weighted_completion_time_mean,risk_weighted_completion_time_std,replanning_count_mean,replanning_count_std
Full-Proposed-Balanced,19.933333333333334,0.2537081317024624,244.33333333333334,33.05620431444241,506.8888888888889,55.60488231639537,174.91735409652077,62.20806247194837,178.23895502645505,63.08016043061324,53.333333333333336,19.401978806534025,140.72222222222223,40.6461127474877,44.0,25.944237284527407,216.33020843184775,33.60736178319072,218.6215966013336,25.786132402078838,1,0.0
w/o Priority,19.933333333333334,0.2537081317024624,238.8,26.136775518084832,497.6666666666667,43.984061899163244,258.1361251402918,73.58282840385777,159.62515432098766,52.49431130767485,55.833333333333336,22.440854574257827,122.6388888888889,42.59994071491687,24.666666666666668,23.30211376135492,243.6881975987929,30.527805690429478,204.71901215028475,22.397903175476728,1,0.0
w/o Risk,19.933333333333334,0.2537081317024624,241.03333333333333,29.804516359140923,501.3888888888889,50.35712183027715,162.99751683501685,43.71977916386802,246.17255291005293,86.63605194745796,60.833333333333336,21.458995916564373,122.04166666666667,32.80824753506104,41.333333333333336,27.759227522459593,209.6279977150734,28.723966735321497,244.59920965668496,36.093925506576554,1,0.0
w/o Abnormal,19.933333333333334,0.2537081317024624,236.63333333333333,29.843827217508576,494.05555555555554,50.2001422151008,170.82427048260382,52.08671497286201,170.89517195767195,67.78851178319847,21.666666666666668,19.401978806534025,215.04166666666669,59.61385461348222,44.666666666666664,24.457328544635242,208.60565733525038,27.241624035410258,212.73450298590336,27.848870903741158,1,0.0
w/o Complexity,19.933333333333334,0.2537081317024624,231.36666666666667,29.902696606958646,485.27777777777777,50.35141513786574,151.97641694725027,40.858705252725414,155.7996913580247,55.69070899213728,61.666666666666664,18.257418583505537,113.19444444444444,30.89004053229528,50.0,29.125175743143,203.7433510427337,17.992919750877256,206.75712107170264,22.80048720744743,1,0.0
w/o Energy,19.933333333333334,0.2537081317024624,250.0,31.05057054281745,516.3333333333334,52.357085173031656,176.46858866442201,63.0055623991349,178.06395502645503,62.797168782412925,53.333333333333336,19.401978806534025,136.16666666666666,41.84836818252571,46.0,27.36723437326796,220.12889062033358,33.83233440000133,221.98945943037683,28.22217772281987,1,0.0
