method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,replanning_count_mean,replanning_count_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,184.3685384037835,25.332707294924848,25.333333333333332,24.597915994335125,28.333333333333332,22.488822255440184,149.0,43.501497309853995,0.0,0.0,33.64682983568249,5.372736659272797
DRF-RH-Full,19.933333333333334,0.2537081317024624,216.73333333333332,27.448928543040065,460.8888888888889,46.04415116994132,127.34217171717172,46.22458331603542,184.68516519724517,23.15348428714075,54.666666666666664,29.68028874909887,42.5,20.91650066335189,126.52777777777777,40.29366181710105,1.0,0.0,91.41482849954627,6.857900897848328
DRF-RH-Light,19.933333333333334,0.2537081317024624,219.03333333333333,26.332729514392557,464.72222222222223,44.161154141635926,129.4929292929293,52.80159871381161,184.5096757951801,22.868047808385363,54.0,29.313995715828064,40.0,20.34190510862431,139.73611111111111,43.92111900991383,1.0,0.0,63.42576266227601,7.139363100027643
Deadline-Greedy,19.933333333333334,0.2537081317024624,275.7,26.872816671537596,559.1666666666666,45.27428118036187,149.66603535353536,50.44756980285721,228.96291220346035,27.297940889182446,58.0,26.96101911508795,56.666666666666664,23.610829387546218,135.75,55.328001404926994,1.0,0.0,34.22969006545221,5.388820065076043
Priority-Greedy,19.933333333333334,0.2537081317024624,294.93333333333334,36.062143043911576,591.2222222222222,60.388165426903605,146.08268799102132,47.278094175098836,239.40799184464973,32.15450692015751,62.666666666666664,25.58735319797968,54.166666666666664,23.7473531495448,159.40277777777777,57.42412152917265,1.0,0.0,33.939190404877685,5.199625312737799
Proposed-Balanced,19.933333333333334,0.2537081317024624,244.33333333333334,33.05620431444241,506.8888888888889,55.60488231639537,174.91735409652077,62.20806247194837,216.33020843184775,33.60736178319072,44.0,25.944237284527407,53.333333333333336,19.401978806534025,140.72222222222223,40.6461127474877,1.0,0.0,34.54370512821091,5.237192836440675
RH-v2-Full,19.933333333333334,0.2537081317024624,218.93333333333334,28.20727875412025,464.55555555555554,47.278285404120915,135.54465488215487,43.88024813810997,186.47798731915492,22.82326662606977,54.0,30.693141994869823,54.166666666666664,19.786939846922948,113.75,40.358041970890234,1.0,0.0,677.6006713393144,111.64564728195958
RH-v2-Light,19.933333333333334,0.2537081317024624,222.2,24.16951628066601,470.0,40.70264095661253,131.53080808080807,43.095295322596,188.15762547878228,26.60486720016014,54.0,28.35732587947042,50.833333333333336,26.654990259745478,120.01388888888889,40.68858983293219,1.0,0.0,319.3679041035163,50.115072853086424
