method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,replanning_count_mean,replanning_count_std,lambda_before_abnormal_mean,lambda_before_abnormal_std,lambda_after_abnormal_mean,lambda_after_abnormal_std,lambda_change_mean,lambda_change_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std,lambda_mean_mean,lambda_mean_std,lambda_min_mean,lambda_min_std,lambda_max_mean,lambda_max_std,lambda_std_mean,lambda_std_std
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,184.3685384037835,25.332707294924848,25.333333333333332,24.597915994335125,28.333333333333332,22.488822255440184,149.0,43.501497309853995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96047792824296,5.624971230077807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy-PADS,19.933333333333334,0.2537081317024624,250.53333333333333,33.9703048145789,517.2222222222223,57.07146379378903,176.60084175084177,63.65909010872673,220.129367312803,36.61468117075254,44.0,25.944237284527407,55.0,20.12889499682244,137.91666666666666,40.94124259017533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.02229673229158,5.179365568194996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RH-PADS,19.933333333333334,0.2537081317024624,220.76666666666668,26.23065242110424,467.61111111111114,44.06691909898079,135.99315375982044,45.409007388410515,188.36287810879054,21.113663968741267,54.0,30.693141994869823,52.5,22.118411740697713,116.63888888888889,41.46097697534009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0028838656532,113.47615593154647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RH-PADS-L,19.933333333333334,0.2537081317024624,219.73333333333332,23.566389469829232,465.8888888888889,39.69407276302047,134.88528338945005,42.64107378940641,187.99396413352179,24.99705871389163,54.0,28.35732587947042,50.0,27.069514600185485,121.83333333333333,43.25681241057149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.06807190009084,51.27157934144548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-RH-PADS,19.933333333333334,0.2537081317024624,221.06666666666666,25.37570564105773,468.11111111111114,42.52953297378272,138.7098344556678,46.16346408038495,187.5373980599442,20.925047819406345,50.666666666666664,28.63965581248265,54.166666666666664,25.49791517283167,118.41666666666667,43.641751688279605,1.0,0.0,0.6183787788728867,0.020470912063777442,0.7852546032536685,0.010266434107643198,0.16687582438078166,0.014789011734938691,72.0490511370978,7.158251014681407,0.6683313250596415,0.040831675552947456,0.5062528294180103,0.03905614340259573,0.7875651048171628,0.009774130188882674,0.10038858163781937,0.02135885990220487
A-RH-PADS-L,19.933333333333334,0.2537081317024624,219.6,24.162667128415702,465.6666666666667,40.26397570364358,147.22393378226712,49.17594998936468,188.30007324764966,21.1335442799655,50.0,28.64768149732913,47.5,27.34675168253456,126.95833333333333,45.16720081755661,1.0,0.0,0.6178352888607781,0.02083291157793587,0.7835986116585906,0.011832656432706659,0.16576332279781236,0.013786240517326947,57.98167409763361,7.30412464636704,0.6729392881753116,0.03681585921082661,0.5131624281476009,0.04135057569737964,0.7861453022817693,0.010872827967463658,0.09901563538709246,0.019412345688002652
Priority-Greedy,19.933333333333334,0.2537081317024624,300.46666666666664,26.928684018876705,600.4444444444445,45.179364405351265,150.12076318742987,47.23982405308572,245.05429297825884,29.294152738441728,61.333333333333336,26.747005418374872,58.333333333333336,24.855906580811393,155.38888888888889,61.099924960187025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.47603169774326,5.126910584892338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
