seed,method,completed_task_num,total_path_length,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,lambda_mean,lambda_min,lambda_max,lambda_std,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
2,TSP-2opt,20,148.0,148.0,132.56660942319527,272.20000000000005,372.19999999999993,153.85,160.66711458218114,122.03733027447487,100.0,0.8957203339405087,0.0,0.0,0.0,0.0,0,0,0,0,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,Greedy-PADS,20,173.0,173.0,156.53171281466857,325.5999999999999,425.6,179.20000000000002,197.3644069706484,148.6894051095532,100.0,0.9048075885240957,0.0,0.0,0.0,0.0,0,0,0,0,P20->P5->P7->P3->P11->P1->P2->P15->P14->P8->P10->P12->P4->P17->P18->P6->P9->P19->P16->P13
2,Priority-Greedy,20,308.0,308.0,282.12091222870094,555.4000000000001,655.4,165.73000000000002,232.2606090459289,200.7999805523985,100.0,0.9159769877555225,0.0,0.0,0.0,0.0,0,0,0,0,P5->P20->P7->P11->P15->P14->P4->P18->P6->P13->P1->P2->P10->P8->P17->P3->P9->P19->P16->P12
3,A-RH-PADS-L,19,178.0,178.0,163.25308282144582,316.49999999999994,411.50000000000006,148.30000000000004,172.57905588966727,106.09705963651193,100.0,0.9171521506822798,0.5656104195285184,0.5129705953637662,0.6214434241576577,0.028209241499956975,1,0,0,1,P9->P16->P1->P14->P8->P3->P12->P19->P18->P2->P20->P5->P15->P4->P17->P13->P10->P6->P7
3,RH-PADS-L,19,233.0,233.0,212.13943415734758,418.20000000000005,513.2,123.36666666666667,172.693288953957,154.66012472309097,100.0,0.910469674495054,0.0,0.0,0.0,0.0,1,0,0,1,P9->P16->P1->P15->P2->P5->P12->P3->P8->P14->P7->P6->P19->P13->P17->P18->P4->P10->P20
3,AStarOnly,19,142.0,142.0,129.1376347283579,258.70000000000005,353.70000000000005,162.46666666666667,168.88521445968058,102.24404498118426,100.0,0.9094199628757599,0.0,0.0,0.0,0.0,1,0,0,1,P10->P4->P12->P3->P9->P8->P16->P14->P1->P15->P19->P18->P17->P13->P5->P20->P2->P7->P6
3,TSP-2opt,19,142.0,142.0,128.603218072372,259.1,354.1,159.45000000000002,168.43529135776595,103.5185278021958,100.0,0.9056564652983943,0.0,0.0,0.0,0.0,1,0,0,1,P10->P4->P12->P3->P9->P16->P14->P1->P8->P15->P19->P18->P17->P13->P5->P20->P2->P7->P6
3,Greedy-PADS,19,172.0,172.0,155.93746813772455,308.30000000000007,403.3000000000001,175.31666666666672,191.47127053031005,117.3744478861203,100.0,0.9066131868472358,0.0,0.0,0.0,0.0,1,0,0,1,P10->P9->P1->P16->P14->P15->P12->P3->P8->P7->P6->P19->P18->P17->P13->P4->P5->P20->P2
3,Priority-Greedy,19,265.0,265.0,244.09189593092285,475.9,570.9,106.26666666666667,200.26269118615582,160.37121272201344,100.0,0.9211014940789541,0.0,0.0,0.0,0.0,1,0,0,1,P9->P1->P16->P15->P2->P12->P13->P17->P5->P7->P14->P8->P3->P19->P18->P20->P6->P10->P4
4,A-RH-PADS-L,20,200.0,200.0,183.7146806491776,360.99999999999994,461.0,199.85,218.85898815278802,125.87098086179296,100.0,0.9185734032458881,0.5514880067388348,0.49792235553151987,0.6018221319239462,0.030635530099918477,0,0,0,0,P20->P9->P11->P17->P3->P5->P6->P16->P8->P12->P7->P4->P1->P10->P2->P13->P15->P18->P19->P14
