method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,replanning_count_mean,replanning_count_std,lambda_before_abnormal_mean,lambda_before_abnormal_std,lambda_after_abnormal_mean,lambda_after_abnormal_std,lambda_change_mean,lambda_change_std,lambda_mean_mean,lambda_mean_std,lambda_min_mean,lambda_min_std,lambda_max_mean,lambda_max_std,lambda_std_mean,lambda_std_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
A-RH-PADS-Full,19.933333333333334,0.2537081317024624,221.06666666666666,25.37570564105773,468.11111111111114,42.52953297378272,138.7098344556678,46.16346408038495,187.5373980599442,20.925047819406345,50.666666666666664,28.63965581248265,54.166666666666664,25.49791517283167,118.41666666666667,43.641751688279605,1.0,0.0,0.6183787788728867,0.020470912063777442,0.7852546032536685,0.010266434107643198,0.16687582438078166,0.014789011734938691,0.6683313250596415,0.040831675552947456,0.5062528294180103,0.03905614340259573,0.7875651048171628,0.009774130188882674,0.10038858163781937,0.02135885990220487,73.19669292968076,6.805109436601218
A-RH-PADS-FixedLambda,19.933333333333334,0.2537081317024624,204.93333333333334,25.75338388657295,441.22222222222223,43.11379696969773,148.38741582491582,52.84522135698816,179.37428530363488,20.158280070656133,46.666666666666664,30.323921743156134,45.833333333333336,27.135780340956547,127.1111111111111,49.6979542224353,1.0,0.0,0.55,0.0,0.55,0.0,0.0,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.0,73.30805780560088,7.099892744011996
A-RH-PADS-NoUrgencyPressure,19.933333333333334,0.2537081317024624,207.33333333333334,26.251217815210197,445.22222222222223,43.95821189901696,149.915544332211,53.417249176511774,182.70100503076657,21.501459332233107,44.666666666666664,27.634727444278155,54.166666666666664,27.135780340956547,119.38888888888889,46.82134327913205,1.0,0.0,0.4386671787387422,0.010000191922940686,0.652485036135668,0.011049074327753261,0.21381785739692577,0.008240990323744398,0.5532181294199573,0.04337653804613429,0.42137938536323194,0.006664602758404844,0.6691715413821376,0.00787340971039198,0.10053888896939629,0.01036817727451608,73.54534983169287,7.609035689474023
A-RH-PADS-NoAbnormalPressure,19.933333333333334,0.2537081317024624,208.9,21.009603715345563,447.8333333333333,35.46124645299429,138.3878507295174,40.073662593424956,181.44925536024442,17.335981465977966,47.333333333333336,28.51899951494325,52.5,26.5469655386514,123.47222222222221,50.22618063266491,1.0,0.0,0.6183787788728867,0.020470912063777442,0.640097617733281,0.02442827597092344,0.021718838860394198,0.017159277201986716,0.5843239432830731,0.01755708443646188,0.4975855098114692,0.03010775635580079,0.648319572054979,0.022425608153473192,0.04386217617700428,0.0121365969829942,74.03343796225575,7.126234322685403
A-RH-PADS-NoPathPressure,19.933333333333334,0.2537081317024624,221.9,24.916896358453855,469.5,41.77377039148257,136.9794051627385,47.3350078262914,189.5503541636399,21.774894256982392,53.333333333333336,27.459479028301814,52.5,24.870353490825593,122.25,46.10935693473577,1.0,0.0,0.6933780316032181,0.012864302089456237,0.8113944078889389,0.005801099763008395,0.11801637628572076,0.009892354285984261,0.7250153449138522,0.0303631257254804,0.5913695850863514,0.03754432328160127,0.8113944078889389,0.005801099763008395,0.07797630890588007,0.01636498314196519,73.17286266285616,6.881000642658779
A-RH-PADS-ResponseOnly,19.933333333333334,0.2537081317024624,233.83333333333334,26.30731291188209,489.3888888888889,44.24653012205177,139.42442480359148,51.73048134239726,195.30095613605928,25.436346878245324,52.666666666666664,25.45223157120065,51.666666666666664,26.206518448573103,121.83333333333333,40.846760635405715,1.0,0.0,0.85,0.0,0.85,0.0,0.0,0.0,0.85,0.0,0.85,0.0,0.85,0.0,0.0,0.0,72.25161847115184,6.421590428341831
A-RH-PADS-CostOnly,19.933333333333334,0.2537081317024624,189.6,25.66575606684437,415.66666666666663,42.95056411567148,158.13822951739618,42.43723510753765,175.06673746305,18.49797366429355,39.333333333333336,28.51899951494325,26.666666666666668,20.692049669866684,149.79166666666666,53.30826795153204,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,73.2207174374101,6.172384765795299
A-RH-PADS-NoFinishTimeResponse,19.933333333333334,0.2537081317024624,259.03333333333336,33.124096170709876,531.3888888888889,55.62615246269799,159.26816778900113,66.9525310745922,220.64892762517047,35.06086424828376,55.333333333333336,29.563879794535545,60.0,20.34190510862431,132.06944444444446,44.65122440288602,1.0,0.0,0.6147325855737288,0.020007516383769925,0.7819081639669239,0.01149478013393411,0.16717557839319505,0.01424967019804316,0.649234575682652,0.03490502789241021,0.49244205511072886,0.03498192685778479,0.783807105158154,0.009503974535107025,0.10714652177721876,0.016064053723093236,73.03133820920873,6.932600036692276
