method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_planned_path_length_mean,total_planned_path_length_std,vehicle_trajectory_length_mean,vehicle_trajectory_length_std,vehicle_execution_time_mean,vehicle_execution_time_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,heading_change_sum_mean,heading_change_sum_std,goal_success_rate_mean,goal_success_rate_std,trajectory_to_plan_ratio_mean,trajectory_to_plan_ratio_std,lambda_mean_mean,lambda_mean_std,lambda_min_mean,lambda_min_std,lambda_max_mean,lambda_max_std,lambda_std_mean,lambda_std_std,failed_task_num_mean,failed_task_num_std,unreachable_task_num_mean,unreachable_task_num_std,follower_failed_num_mean,follower_failed_num_std,adapter_failed_num_mean,adapter_failed_num_std
A-RH-PADS-L,19.933333333333334,0.2537081317024624,212.83333333333334,21.97817621835482,212.83333333333334,21.97817621835482,193.73924580618055,20.522825689539104,382.5733333333333,40.59818182894516,482.24,41.00853233338071,162.10396392496392,33.08352561296558,193.5615890865926,20.265226244460436,138.72676063056636,19.811719304373664,100.0,0.0,0.9101514933542989,0.015232626163875742,0.5747950928256982,0.0174222065124445,0.501168749265807,0.028959827291560318,0.6291923652498675,0.019423612465318936,0.03826201594791608,0.009720187968365906,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624
RH-PADS-L,19.933333333333334,0.2537081317024624,232.93333333333334,25.052955408746563,232.93333333333334,25.052955408746563,211.9483471793835,23.608525981273207,420.8666666666667,45.17809458006233,520.5333333333333,45.56342554205553,125.7021145983646,34.81875740540507,183.8511840999239,17.69243759703196,157.37200390096154,20.068142188837076,100.0,0.0,0.909610419494396,0.011295170481210356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624
AStarOnly,19.933333333333334,0.2537081317024624,167.2,21.863841981840626,167.2,21.863841981840626,149.82965742149625,20.496265358441907,302.39,37.41767376982203,402.0566666666667,37.97678676946398,183.09031024531023,42.32120298752921,190.94136518547995,20.892924513137356,122.38389418076105,14.480942604286327,100.0,0.0,0.895549954744356,0.017848354159145565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624
TSP-2opt,19.933333333333334,0.2537081317024624,164.3,20.861034457109014,164.3,20.861034457109014,147.04052541736004,19.4736082286458,296.87333333333333,36.88485282356555,396.54,37.45314866373169,183.70164333814333,48.28504171402363,190.61347151024074,22.535888102660426,120.22278048934332,15.40290101506938,100.0,0.0,0.8944609128163061,0.015990222364014046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624
Greedy-PADS,19.933333333333334,0.2537081317024624,203.3,23.579871603288815,203.3,23.579871603288815,183.61307785960796,21.495168934103525,367.25666666666666,40.88436749843547,466.92333333333335,41.460913735904214,172.77710137085137,58.96910631177456,192.6039923300716,16.946699796137665,142.20924988211738,18.944309705694813,100.0,0.0,0.9032693682914255,0.01781995874033652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624
Priority-Greedy,19.933333333333334,0.2537081317024624,297.2,31.94003001315715,297.2,31.94003001315715,270.3509854594398,28.384738818210486,529.51,54.73047660093522,629.1766666666667,55.21749899626295,151.9050628908129,44.20785099456873,245.04762652214444,27.297775890311147,185.5557405986197,22.4596364825875,100.0,0.0,0.910161392064114,0.020085167267098688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.0,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624
