map_type,seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,task_sequence
corridor,3,DRF-RH-Full,20,209.0,448.33333333333337,58.88888888888889,147.07286598303395,60.0,65.34345098771155,P16->P14->P5->P13->P9->P11->P15->P8->P20->P7->P10->P19->P12->P2->P6->P1->P3->P17->P18->P4
corridor,3,DRF-RH-Light,20,209.0,448.33333333333326,58.88888888888889,150.27512487476645,60.0,41.43412597477436,P16->P14->P5->P13->P9->P11->P15->P8->P20->P10->P7->P19->P6->P1->P3->P12->P2->P17->P18->P4
corridor,4,AStarOnly,20,130.0,316.66666666666674,109.33333333333334,123.33041842608503,40.0,15.749201003927737,P4->P8->P18->P11->P5->P17->P3->P14->P10->P20->P6->P12->P1->P19->P2->P7->P13->P9->P16->P15
corridor,4,Proposed-Balanced,20,197.0,428.33333333333326,170.99999999999997,216.32753284402332,60.0,15.745452023111284,P17->P5->P20->P1->P9->P13->P3->P6->P10->P12->P14->P2->P19->P7->P18->P8->P4->P15->P11->P16
corridor,4,RH-Proposed-v2,20,196.0,426.66666666666663,105.0,157.87356704595652,60.0,356.18041799170896,P5->P17->P1->P9->P3->P19->P7->P2->P14->P10->P20->P12->P18->P11->P4->P15->P8->P16->P13->P6
corridor,4,Priority-Greedy,20,288.0,579.9999999999999,118.33333333333334,212.5600037065174,60.0,16.039855021517724,P5->P9->P1->P17->P18->P4->P10->P12->P3->P7->P19->P14->P20->P2->P16->P11->P15->P13->P6->P8
corridor,4,TSP-2opt,20,118.0,296.66666666666674,159.3333333333334,150.39270467061286,40.0,24.037558992858976,P4->P11->P18->P16->P17->P12->P6->P20->P10->P14->P3->P1->P19->P9->P13->P7->P2->P5->P8->P15
corridor,4,DRF-RH-Full,20,184.0,406.66666666666663,103.0,138.38455457608637,40.0,58.26447799336165,P18->P5->P17->P1->P19->P9->P7->P2->P3->P14->P10->P20->P12->P11->P4->P15->P8->P16->P13->P6
corridor,4,DRF-RH-Light,20,186.0,410.0,110.66666666666667,146.39220540772664,40.0,34.89225299563259,P18->P5->P17->P1->P19->P9->P7->P3->P10->P12->P20->P14->P13->P2->P11->P4->P15->P8->P16->P6
corridor,5,AStarOnly,20,181.0,401.66666666666674,104.58333333333334,165.59411070013945,40.0,19.53711296664551,P20->P10->P12->P18->P1->P16->P15->P7->P6->P17->P11->P8->P3->P13->P19->P4->P9->P14->P2->P5
corridor,5,Proposed-Balanced,20,256.0,526.6666666666667,135.41666666666669,200.9540271747676,40.0,19.719364994671196,P12->P10->P20->P17->P11->P3->P19->P13->P8->P14->P16->P9->P7->P6->P15->P1->P18->P2->P5->P4
corridor,5,RH-Proposed-v2,20,228.0,479.99999999999994,110.0,173.26629152401352,60.0,426.0396580211818,P20->P10->P12->P3->P13->P19->P11->P14->P9->P16->P15->P7->P6->P1->P18->P2->P5->P8->P17->P4
corridor,5,Priority-Greedy,20,272.0,553.3333333333333,195.83333333333334,265.41913340771964,60.0,19.325016997754574,P3->P19->P13->P12->P10->P20->P5->P14->P9->P6->P7->P15->P16->P11->P8->P17->P1->P18->P2->P4
corridor,5,TSP-2opt,20,136.0,326.6666666666666,146.24999999999997,188.808080537141,40.0,24.94821499567479,P5->P20->P10->P12->P18->P2->P1->P6->P7->P15->P16->P14->P9->P4->P11->P17->P8->P3->P13->P19
corridor,5,DRF-RH-Full,20,232.0,486.6666666666667,95.0,202.04869687850928,60.0,64.50292002409697,P10->P12->P3->P13->P19->P9->P14->P6->P7->P15->P16->P20->P5->P18->P2->P1->P11->P8->P17->P4
corridor,5,DRF-RH-Light,20,231.0,484.9999999999999,111.66666666666666,166.23853798378818,60.0,43.15535497153178,P20->P10->P12->P3->P11->P13->P19->P8->P9->P14->P16->P15->P6->P7->P1->P18->P2->P5->P4->P17
corridor,6,AStarOnly,20,156.0,360.0,232.77777777777774,146.88027662481002,0.0,18.056138011161238,P11->P16->P14->P3->P18->P15->P10->P9->P5->P2->P4->P8->P6->P13->P1->P12->P17->P7->P20->P19
corridor,6,Proposed-Balanced,20,289.0,581.6666666666666,245.55555555555557,257.96831175319255,20.0,17.78582198312506,P16->P15->P11->P19->P12->P8->P6->P1->P9->P5->P2->P13->P10->P7->P14->P20->P3->P18->P4->P17
corridor,6,RH-Proposed-v2,20,237.0,495.0,145.00000000000003,168.98467783575245,20.0,413.190743944142,P16->P15->P9->P8->P6->P13->P12->P5->P7->P14->P11->P19->P3->P18->P10->P4->P2->P20->P1->P17
