method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std
FS,19.933333333333334,0.2537081317024624,428.8,54.4023326071911,814.3333333333334,91.10496661833943,421.1180555555556,125.3713740781563
NNF,19.933333333333334,0.2537081317024624,164.3,20.861034457109014,373.5,35.35357802156951,182.03709315375983,56.742106094205624
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002
Proposed,19.933333333333334,0.2537081317024624,261.03333333333336,34.06837276695947,534.7222222222223,57.303860597135056,172.18577441077443,52.65177135990345
