experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,A-RH-PADS-Full vs A-RH-PADS-FixedLambda,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-FixedLambda,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,total_path_length,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,30,221.06666666666666,207.33333333333334,13.733333333333333,20.261962551460353,3.7124027039829564,0.000868244759729488,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,total_inspection_time,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,30,468.1111111111111,445.2222222222221,22.888888888888896,33.76993758576727,3.712402703982955,0.0008682447597294904,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,high_priority_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,30,138.7098344556678,149.91554433221103,-11.205709876543207,32.270890751374466,-1.901905999288146,0.06715877935747382,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,priority_weighted_completion_time,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,30,187.53739805994425,182.7010050307666,4.836393029177644,12.234941959303486,2.165111667756648,0.0387464032749992,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,abnormal_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,30,118.41666666666666,119.3888888888889,-0.9722222222222179,30.829320438875406,-0.17272779108923295,0.8640652811849786,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,abnormal_priority_rate,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,30,54.166666666666664,54.166666666666664,0.0,17.370208344491278,0.0,1.0,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,vehicle_trajectory_length,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoUrgencyPressure,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-NoUrgencyPressure,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoAbnormalPressure,total_path_length,A-RH-PADS-Full,A-RH-PADS-NoAbnormalPressure,30,221.06666666666666,208.9,12.166666666666666,21.063259945702374,3.163782719369229,0.0036394346073285637,significant
