method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std
NNF,19.933333333333334,0.2537081317024624,164.3,20.861034457109014,373.5,35.35357802156951,182.03709315375983,56.742106094205624,179.18866240707442,21.713129153009024,25.333333333333332,22.24213667070142
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,184.3685384037835,25.332707294924848,25.333333333333332,24.597915994335125
Proposed-Balanced,19.933333333333334,0.2537081317024624,236.63333333333333,29.843827217508576,494.05555555555554,50.2001422151008,170.82427048260382,52.08671497286201,208.60565733525038,27.241624035410258,44.666666666666664,24.457328544635242
RH-Proposed-v1,19.933333333333334,0.2537081317024624,242.43333333333334,27.94907108854682,503.72222222222223,46.960657156410626,191.38703703703703,49.10310773048811,222.12641157710846,22.84610397279141,36.0,25.407031337393796
RH-Proposed-v2,19.933333333333334,0.2537081317024624,220.26666666666668,22.29880673061219,466.77777777777777,37.63591800917522,130.1239618406285,40.493432375571615,183.09512203085956,18.643457900019698,53.333333333333336,27.459479028301814
