seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
4,Proposed-Balanced,20,225.0,208.1291557141622,406.20000000000005,506.2,190.82499999999996,0.0,0.0,136.14063729085328,100.0,0.9250184698407209,0,0,0,0,P20->P9->P11->P17->P19->P16->P3->P5->P6->P8->P12->P7->P1->P10->P15->P13->P2->P18->P14->P4
4,RH-v2-Light,20,268.0,243.3543418244108,479.8999999999999,579.8999999999999,156.19999999999996,0.0,0.0,169.78656857954297,100.0,0.9080385888970552,0,0,0,0,P20->P9->P15->P13->P11->P17->P3->P5->P6->P16->P19->P18->P1->P7->P12->P4->P8->P14->P2->P10
4,TSP-2opt,20,176.0,160.82768121655664,322.4,422.4,185.075,0.0,0.0,127.34093478307807,100.0,0.91379364327589,0,0,0,0,P10->P20->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,Priority-Greedy,20,342.0,317.82161519105864,612.4000000000001,712.4000000000001,210.97500000000002,0.0,0.0,197.4167518917536,100.0,0.9293029683949083,0,0,0,0,P20->P11->P17->P3->P12->P9->P1->P7->P5->P16->P19->P6->P8->P15->P18->P13->P10->P4->P2->P14
5,AStarOnly,20,207.0,190.48274802329055,376.70000000000005,476.7,205.94999999999996,0.0,0.0,139.33643937649998,100.0,0.9202065121898094,0,0,0,0,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
5,Proposed-Balanced,20,223.0,205.17104764370538,404.4000000000001,504.40000000000003,150.48333333333332,0.0,0.0,145.21696926815798,100.0,0.9200495410031632,0,0,0,0,P14->P15->P12->P6->P9->P5->P19->P1->P4->P7->P11->P17->P8->P13->P16->P2->P18->P10->P3->P20
5,RH-v2-Light,20,275.0,251.1874652565892,497.8,597.8000000000001,125.89999999999999,0.0,0.0,188.6278885990913,100.0,0.9134089645694153,0,0,0,0,P14->P15->P6->P9->P19->P1->P4->P7->P8->P17->P16->P12->P18->P10->P5->P3->P2->P13->P11->P20
5,TSP-2opt,20,188.0,172.21051869009747,345.0,445.0,234.13333333333335,0.0,0.0,132.6523677617738,100.0,0.9160133972877526,0,0,0,0,P16->P13->P8->P1->P4->P7->P11->P17->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,Priority-Greedy,20,353.0,327.306325439431,635.5000000000001,735.5000000000001,156.81666666666663,0.0,0.0,208.6486304357479,100.0,0.9272133865139689,0,0,0,0,P14->P6->P7->P4->P19->P9->P1->P8->P17->P16->P18->P10->P12->P15->P5->P11->P13->P2->P3->P20
6,AStarOnly,20,165.0,150.11721461623893,305.9,405.9,204.26,0.0,0.0,123.32050505303143,100.0,0.9098013007044783,0,0,0,0,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P7->P9->P14->P16->P12->P4->P13->P20
6,Proposed-Balanced,20,201.0,185.87048023446764,374.40000000000003,474.4,195.6,0.0,0.0,137.49455797868976,100.0,0.9247287573854112,0,0,0,0,P10->P17->P5->P2->P15->P20->P13->P18->P7->P12->P16->P9->P14->P4->P19->P3->P6->P8->P1->P11
