experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,DRF-RH-Full vs DRF-RH-Horizon1,abnormal_avg_response_time,DRF-RH-Full,DRF-RH-Horizon1,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-Horizon1,abnormal_priority_rate,DRF-RH-Full,DRF-RH-Horizon1,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,total_path_length,DRF-RH-Full,DRF-RH-BaseScoreOnly,30,222.26666666666668,429.8666666666667,-207.6,40.30795249678106,-28.209620160476515,1.236257923031134e-22,significant
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,total_inspection_time,DRF-RH-Full,DRF-RH-BaseScoreOnly,30,470.11111111111114,816.1111111111112,-346.0,67.17992082796844,-28.209620160476515,1.236257923031134e-22,significant
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,high_priority_avg_response_time,DRF-RH-Full,DRF-RH-BaseScoreOnly,30,121.12737093153763,193.4202581369248,-72.2928872053872,69.82379772766126,-5.670909683831296,3.942542815584143e-06,significant
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,priority_weighted_completion_time,DRF-RH-Full,DRF-RH-BaseScoreOnly,30,184.20175785739517,328.74858835590555,-144.54683049851045,48.53203891827919,-16.313256447606314,3.7816791757500067e-16,significant
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,high_priority_top5_rate,DRF-RH-Full,DRF-RH-BaseScoreOnly,30,59.333333333333336,62.0,-2.6666666666666665,17.991057804352145,-0.8118441408859887,0.4234950884933465,not_significant
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,abnormal_avg_response_time,DRF-RH-Full,DRF-RH-BaseScoreOnly,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-BaseScoreOnly,abnormal_priority_rate,DRF-RH-Full,DRF-RH-BaseScoreOnly,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,total_path_length,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,30,222.26666666666668,222.26666666666668,0.0,0.0,nan,nan,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,total_inspection_time,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,30,470.11111111111114,470.11111111111114,0.0,0.0,nan,nan,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,high_priority_avg_response_time,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,30,121.12737093153763,121.12737093153763,0.0,0.0,nan,nan,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,priority_weighted_completion_time,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,30,184.20175785739517,184.20175785739517,0.0,0.0,nan,nan,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,high_priority_top5_rate,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,30,59.333333333333336,59.333333333333336,0.0,0.0,nan,nan,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,abnormal_avg_response_time,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoDeadlinePenalty,abnormal_priority_rate,DRF-RH-Full,DRF-RH-NoDeadlinePenalty,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,total_path_length,DRF-RH-Full,DRF-RH-NoTopKBonus,30,222.26666666666668,216.76666666666668,5.5,14.977569435889674,2.0113237192276596,0.05366726476001821,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,total_inspection_time,DRF-RH-Full,DRF-RH-NoTopKBonus,30,470.11111111111114,460.94444444444434,9.166666666666666,24.96261572648281,2.011323719227658,0.05366726476001843,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,high_priority_avg_response_time,DRF-RH-Full,DRF-RH-NoTopKBonus,30,121.12737093153763,140.57321829405166,-19.445847362514026,33.66739493123786,-3.163573918328009,0.0036413685809832856,significant
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,priority_weighted_completion_time,DRF-RH-Full,DRF-RH-NoTopKBonus,30,184.20175785739517,184.1497075347729,0.05205032262232408,14.149325796605437,0.02014875919565579,0.9840626983268363,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,high_priority_top5_rate,DRF-RH-Full,DRF-RH-NoTopKBonus,30,59.333333333333336,49.333333333333336,10.0,14.621665549733924,3.7459655717206117,0.0007937260361524638,significant
ablation,DRF-RH-Full vs DRF-RH-NoTopKBonus,abnormal_avg_response_time,DRF-RH-Full,DRF-RH-NoTopKBonus,0,,,,,,,skipped
