method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,abnormal_priority_rate_mean,abnormal_priority_rate_std,abnormal_avg_response_time_mean,abnormal_avg_response_time_std,replanning_count_mean,replanning_count_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,184.3685384037835,25.332707294924848,25.333333333333332,24.597915994335125,28.333333333333332,22.488822255440184,149.0,43.501497309853995,0.0,0.0,33.69460643152706,5.645506806536249
Proposed-Balanced,19.933333333333334,0.2537081317024624,244.33333333333334,33.05620431444241,506.8888888888889,55.60488231639537,174.91735409652077,62.20806247194837,216.33020843184775,33.60736178319072,44.0,25.944237284527407,53.333333333333336,19.401978806534025,140.72222222222223,40.6461127474877,1.0,0.0,34.42333279914843,5.325667797876464
RH-v2-Full,19.933333333333334,0.2537081317024624,218.93333333333334,28.20727875412025,464.55555555555554,47.278285404120915,135.54465488215487,43.88024813810997,186.47798731915492,22.82326662606977,54.0,30.693141994869823,54.166666666666664,19.786939846922948,113.75,40.358041970890234,1.0,0.0,676.1001111667914,113.04554697508955
RH-v2-Light,19.933333333333334,0.2537081317024624,222.2,24.16951628066601,470.0,40.70264095661253,131.53080808080807,43.095295322596,188.15762547878228,26.60486720016014,54.0,28.35732587947042,50.833333333333336,26.654990259745478,120.01388888888889,40.68858983293219,1.0,0.0,318.34646129670244,52.00679694800186
