method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std,path_redundancy_ratio_mean,path_redundancy_ratio_std,priority_response_efficiency_mean,priority_response_efficiency_std
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,184.3685384037835,25.332707294924848,25.333333333333332,24.597915994335125,34.041624198046826,5.3283833652128205,1.0,0.0,0.15472776464391355,0.15652770118378836
DRF-RH-Full,19.933333333333334,0.2537081317024624,222.26666666666668,25.981337245366554,470.11111111111114,43.64813446644683,121.1273709315376,40.92085271472237,184.2017578573952,20.78631531269421,59.333333333333336,28.51899951494325,86.26826915812369,7.293225864678733,1.3263260111049524,0.1556495026336634,0.270480861060738,0.1409014923189656
DRF-RH-Light,19.933333333333334,0.2537081317024624,226.0,25.478862097689987,476.33333333333337,42.847408126300515,126.02720258136925,49.25097296601055,184.75058164981508,21.334616102689584,56.0,27.990146049316515,61.19174749474041,6.941708722245783,1.349439578950611,0.1628435704384173,0.25096932618494494,0.12889464852657917
Deadline-Greedy,19.933333333333334,0.2537081317024624,268.7,36.49010257873903,547.5,61.307200204664916,138.2077441077441,49.49170494281697,220.44172922552505,25.01991004744041,61.333333333333336,25.15240899319426,34.58234176505357,7.0057980866601515,1.6035222178306807,0.22344607523138613,0.23048447784971163,0.09841097750220347
NNF,19.933333333333334,0.2537081317024624,164.3,20.861034457109014,373.5,35.35357802156951,182.03709315375983,56.742106094205624,179.18866240707442,21.713129153009024,25.333333333333332,22.24213667070142,34.32404909787389,5.481141539881415,0.9748563125030623,0.06819294939001531,0.15870777462440344,0.14685820001039251
Priority-Greedy,19.933333333333334,0.2537081317024624,297.2,31.94003001315715,595.0,53.70738085794809,133.63700897867565,38.93563015192716,232.45578361212736,28.70886967598152,64.0,24.858218650634615,34.01713309770761,5.211592659742534,1.7728121982162177,0.18961145583252823,0.21640990330377685,0.08681062309619032
Proposed-Balanced,19.933333333333334,0.2537081317024624,236.63333333333333,29.843827217508576,494.05555555555554,50.2001422151008,170.82427048260382,52.08671497286201,208.60565733525038,27.241624035410258,44.666666666666664,24.457328544635242,34.38742643144602,5.342537425461481,1.4132360893066296,0.19402081073475172,0.18952205399506175,0.10646406992230757
RH-Proposed-v2,19.933333333333334,0.2537081317024624,220.26666666666668,22.29880673061219,466.77777777777777,37.63591800917522,130.1239618406285,40.493432375571615,183.09512203085956,18.643457900019698,53.333333333333336,27.459479028301814,685.8803327622203,116.61719135530915,1.3174800573702712,0.16526248642257238,0.2454986299849918,0.13730576338075956
TSP-2opt,19.933333333333334,0.2537081317024624,153.1,17.05437551298584,354.83333333333337,29.093421989603325,188.34990179573512,46.49641303275241,181.2166422854181,21.13181020699967,23.333333333333332,21.063669217862785,42.55327917053364,9.410639031912154,0.910062043606809,0.06327880159467394,0.15342413845273553,0.14075536746440298
