method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std,lambda_mean_mean,lambda_mean_std,lambda_min_mean,lambda_min_std,lambda_max_mean,lambda_max_std,lambda_std_mean,lambda_std_std
AStarOnly,19.933333333333334,0.2537081317024624,169.13333333333333,23.10356493365641,381.55555555555554,39.17231148692412,200.3968855218855,76.98584115572002,184.3685384037835,25.332707294924848,25.333333333333332,24.597915994335125,33.655970165273175,5.229527975162921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSP-2opt,19.933333333333334,0.2537081317024624,153.1,17.05437551298584,354.83333333333337,29.093421989603325,188.34990179573512,46.49641303275241,181.2166422854181,21.13181020699967,23.333333333333332,21.063669217862785,42.45885829635275,9.455499518881481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy-PADS,19.933333333333334,0.2537081317024624,236.63333333333333,29.843827217508576,494.05555555555554,50.2001422151008,170.82427048260382,52.08671497286201,208.60565733525038,27.241624035410258,44.666666666666664,24.457328544635242,34.39541639721332,5.725537476697137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Priority-Greedy,19.933333333333334,0.2537081317024624,297.2,31.94003001315715,595.0,53.70738085794809,133.63700897867565,38.93563015192716,232.45578361212736,28.70886967598152,64.0,24.858218650634615,33.952392404899,5.258368828349877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RH-PADS,19.933333333333334,0.2537081317024624,220.26666666666668,22.29880673061219,466.77777777777777,37.63591800917522,130.1239618406285,40.493432375571615,183.09512203085956,18.643457900019698,53.333333333333336,27.459479028301814,678.3000387697635,115.35195481385685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RH-PADS-L,19.933333333333334,0.2537081317024624,219.43333333333334,30.186413172649132,465.3888888888889,50.661681797530946,134.24159652076318,58.213454362136595,182.57065751901004,21.23776215980659,53.333333333333336,27.957274463049842,320.8815344007841,58.20118450346445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-RH-PADS,19.933333333333334,0.2537081317024624,207.06666666666666,21.529343781875028,444.77777777777777,36.271996453079474,142.99701178451178,54.37456916953266,178.71586320931183,20.697219738235813,48.666666666666664,27.634727444278155,73.4005620974737,8.024812833784166,0.5718200716832461,0.018374695697555392,0.49879044136505546,0.031475056867578954,0.6293323746901688,0.019979387753028963,0.03954063198920553,0.008588746948256577
A-RH-PADS-L,19.933333333333334,0.2537081317024624,212.43333333333334,22.001071029310857,453.72222222222223,36.95467694552544,146.64041806958474,33.367064283331196,182.59807233895873,19.92133382732866,47.333333333333336,27.02914561438593,58.722912663749106,7.276921324446871,0.5743831532929116,0.01737339504381614,0.5016983656151722,0.028793248797280842,0.6291923652498675,0.019423612465318936,0.038269282410533054,0.010409155324626357
