seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,lambda_before_abnormal,lambda_after_abnormal,lambda_change,lambda_mean,lambda_min,lambda_max,lambda_std,algorithm_runtime_ms,task_sequence
21,A-RH-PADS-CostOnly,20,194.0,423.3333333333333,161.94444444444443,169.93242487093374,40.0,0.0,174.16666666666666,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,66.78073800867423,P12->P8->P10->P15->P2->P1->P7->P5->P14->P3->P13->P17->P4->P20->P19->P9->P11->P18->P16->P6
21,A-RH-PADS-NoFinishTimeResponse,20,268.0,546.6666666666667,147.7777777777778,208.1000720048965,60.0,25.0,197.91666666666669,1,0.5930235948483377,0.7687675346178151,0.17574393976947744,0.6497785269623598,0.4524203942800961,0.7763702499153238,0.12076747983298809,63.84412001352757,P12->P8->P10->P7->P5->P20->P11->P18->P15->P2->P1->P14->P13->P17->P3->P4->P19->P9->P16->P6
22,A-RH-PADS-Full,20,239.0,498.33333333333326,140.0,190.6418228398035,60.0,100.0,91.66666666666667,1,0.6171506151695771,0.7883690799735985,0.17121846480402136,0.5858577586753837,0.5028680380070841,0.7883690799735985,0.10113760048828281,74.31020197691396,P14->P6->P2->P9->P13->P15->P1->P5->P10->P17->P16->P4->P18->P3->P7->P11->P12->P20->P19->P8
22,A-RH-PADS-FixedLambda,20,243.0,504.99999999999994,181.66666666666666,199.24912456696862,40.0,75.0,122.91666666666664,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,80.6837790296413,P14->P6->P2->P13->P15->P1->P5->P10->P17->P16->P18->P11->P12->P9->P7->P3->P8->P4->P19->P20
22,A-RH-PADS-NoUrgencyPressure,20,250.0,516.6666666666665,225.41666666666663,212.56674463879364,40.0,75.0,115.83333333333331,1,0.43194810956177515,0.6620160734258766,0.2300679638641015,0.5270206876935818,0.42337131169325626,0.6703402870576799,0.11382706041726531,76.36505301343277,P14->P12->P6->P2->P13->P15->P1->P5->P10->P16->P8->P3->P7->P11->P18->P4->P19->P17->P20->P9
22,A-RH-PADS-NoAbnormalPressure,20,243.0,504.99999999999994,181.66666666666666,199.24912456696862,40.0,75.0,122.91666666666664,1,0.6171506151695771,0.6465498375740077,0.029399222404430603,0.5754568069038039,0.4599612914295633,0.6465498375740077,0.06329044874328726,76.68579602614045,P14->P6->P2->P13->P15->P1->P5->P10->P17->P16->P18->P11->P12->P9->P7->P3->P8->P4->P19->P20
22,A-RH-PADS-NoPathPressure,20,239.0,498.33333333333326,140.0,190.6418228398035,60.0,100.0,91.66666666666667,1,0.6819767257863197,0.8117877825036386,0.12981105671731885,0.6663007914506617,0.5936653794486437,0.8117877825036386,0.07694013393568505,74.79413301916793,P14->P6->P2->P9->P13->P15->P1->P5->P10->P17->P16->P4->P18->P3->P7->P11->P12->P20->P19->P8
22,A-RH-PADS-ResponseOnly,20,249.0,515.0,140.0,191.12957543864871,60.0,100.0,91.66666666666667,1,0.85,0.85,0.0,0.85,0.85,0.85,0.0,73.07833404047415,P14->P6->P2->P9->P13->P15->P1->P5->P10->P17->P16->P18->P3->P7->P12->P11->P20->P19->P4->P8
22,A-RH-PADS-CostOnly,20,209.0,448.3333333333334,219.16666666666669,200.23935749122862,20.0,0.0,177.91666666666669,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,75.96894900780171,P14->P20->P15->P19->P13->P16->P18->P11->P12->P6->P2->P9->P7->P3->P4->P17->P10->P5->P1->P8
22,A-RH-PADS-NoFinishTimeResponse,20,251.0,518.3333333333333,142.5,193.14874130346635,60.0,75.0,99.16666666666667,1,0.6171506151695771,0.7883690799735985,0.17121846480402136,0.5958802310982727,0.4993740924387581,0.7883690799735985,0.10813993206720476,73.49330198485404,P14->P6->P2->P9->P13->P16->P15->P1->P10->P5->P17->P18->P3->P7->P12->P11->P20->P19->P4->P8
23,A-RH-PADS-Full,20,225.0,475.00000000000006,151.04166666666666,173.40853436617408,60.0,75.0,87.50000000000001,1,0.6611209559929939,0.8008201290542131,0.13969917306121915,0.7028862753718064,0.5019850749363108,0.8008201290542131,0.10660847662023355,70.08541299728677,P15->P12->P13->P14->P1->P19->P9->P5->P10->P4->P20->P18->P6->P11->P8->P17->P3->P2->P7->P16
23,A-RH-PADS-FixedLambda,20,233.0,488.3333333333334,160.83333333333334,174.97214190133698,60.0,50.0,91.25,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,71.09021302312613,P15->P12->P13->P9->P5->P14->P1->P19->P11->P6->P18->P10->P4->P20->P8->P17->P3->P2->P7->P16
