map_width,map_height,obstacle_ratio,task_num,method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
30,30,0.1,10,AStarOnly,10.0,0.0,102.8,20.030503054880548,221.33333333333334,33.38417175813426,89.3263888888889,48.90469563962431,111.33081812410872,19.234095516730175,21.0,19.9736668746891,10.619576257886365,1.9225292328489452
30,30,0.1,10,NNF,10.0,0.0,104.75,19.60095325286637,224.58333333333334,32.66825542144395,98.2013888888889,53.000251996991864,111.90701815002343,19.46423908295547,20.0,19.466570535691506,10.58589204621967,2.0124571674400302
30,30,0.1,10,Proposed-Balanced,10.0,0.0,133.4,22.614387595417867,272.3333333333333,37.690645992363116,77.0,49.72231206499774,122.43965431708665,19.12515790949752,31.0,23.81949665825522,11.025242059258744,1.906728313483145
30,30,0.1,10,RH-Proposed-v2,10.0,0.0,117.55,18.616560256649823,245.91666666666666,31.027600427749707,61.111111111111114,36.45027410227877,107.05533133548009,16.557692580255292,35.0,24.170447375168493,155.702819803264,47.89422069618542
30,30,0.2,10,AStarOnly,9.95,0.22360679774997896,110.3,21.78386655544105,233.58333333333334,36.866580216262335,107.75833333333334,53.95145061735319,116.6002777063319,17.359813683249175,29.0,21.980852911951395,9.36558224784676,2.694178972060149
30,30,0.2,10,NNF,9.95,0.22360679774997896,107.85,19.37789027678058,229.5,32.892257216483664,107.14861111111112,57.06350360246525,115.27370919371972,18.70642141397125,29.0,21.001253095445218,9.305622096871957,2.7555683824009165
30,30,0.2,10,Proposed-Balanced,9.95,0.22360679774997896,139.25,25.206254445234315,281.8333333333333,42.30873715636147,87.90694444444445,47.78090758397551,123.35913787658819,22.771890485775675,41.0,25.526044491233282,9.665200204472058,2.8896715957362527
30,30,0.2,10,RH-Proposed-v2,9.95,0.22360679774997896,137.55,22.134695318483725,279.0,37.398595839419336,77.6763888888889,37.76310696707857,113.84984593840808,19.240410887502343,42.0,22.384204957490613,148.17669559561182,39.24139137863219
30,30,0.3,10,AStarOnly,9.15,2.2307657406087453,125.6,37.97561544492798,255.08333333333334,72.49818509525093,104.79861111111111,66.12278870955456,126.57292615598222,38.151989584042525,17.0,16.25455401774498,10.715426743263379,4.51640189383911
30,30,0.3,10,NNF,9.15,2.2307657406087453,124.5,37.87722548611917,253.25,72.22948119166006,102.4375,70.09510206089458,126.58848572526138,38.011630898071985,17.0,16.25455401774498,10.677592951105908,4.556619329608787
