weight_group,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std
Default,19.933333333333334,0.2537081317024624,261.03333333333336,34.06837276695947,534.7222222222223,57.303860597135056,172.18577441077443,52.65177135990345
PathPriority,19.933333333333334,0.2537081317024624,223.03333333333333,30.64421341937094,471.3888888888889,51.771460897620216,195.85737934904603,51.85580121424785
TaskPriority,19.933333333333334,0.2537081317024624,293.76666666666665,31.248374670376535,589.2777777777778,52.549344322847396,148.92679573512908,39.32483432688728
Balanced,19.933333333333334,0.2537081317024624,236.63333333333333,29.843827217508576,494.05555555555554,50.2001422151008,170.82427048260382,52.08671497286201
WeakPathPenalty,19.933333333333334,0.2537081317024624,297.3666666666667,36.13717479686051,595.2777777777778,60.81515762694605,162.13782267115602,45.054831426219884
