seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,task_sequence
6,NNF,20,165.0,374.99999999999994,179.66666666666666,196.86116533852208,40.0,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,214.07655380590572,40.0,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,Proposed-Balanced,20,224.0,473.3333333333334,159.66666666666669,165.8863466259528,40.0,P10->P17->P5->P2->P20->P13->P18->P12->P4->P16->P14->P9->P7->P8->P3->P6->P11->P15->P19->P1
6,RH-Proposed-v1,20,257.0,528.3333333333334,171.66666666666669,172.34799455564632,40.0,P10->P17->P13->P20->P5->P2->P18->P12->P4->P14->P16->P3->P6->P8->P1->P11->P15->P19->P9->P7
6,RH-Proposed-v2,20,219.0,465.0,157.33333333333334,167.78076812113304,40.0,P10->P17->P5->P2->P15->P13->P20->P18->P12->P16->P14->P9->P8->P11->P3->P6->P1->P7->P4->P19
7,NNF,20,182.0,403.3333333333334,138.33333333333337,162.4629437547004,20.0,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P13->P7->P9
7,AStarOnly,20,188.0,413.33333333333337,187.91666666666666,178.74193177674218,20.0,P12->P5->P10->P4->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P18->P17->P8->P1->P3->P9
7,Proposed-Balanced,20,274.0,556.6666666666666,197.0833333333333,233.44577300440085,40.0,P12->P20->P6->P18->P15->P13->P7->P4->P16->P11->P14->P2->P10->P1->P5->P8->P3->P17->P19->P9
7,RH-Proposed-v1,20,239.0,498.3333333333333,226.66666666666666,230.86074591877596,20.0,P12->P15->P13->P7->P4->P5->P1->P20->P11->P19->P9->P16->P2->P14->P6->P18->P8->P10->P3->P17
7,RH-Proposed-v2,20,212.0,453.3333333333333,84.58333333333334,167.913434817087,40.0,P12->P3->P15->P13->P16->P11->P20->P6->P4->P10->P5->P1->P18->P17->P8->P7->P2->P14->P9->P19
8,NNF,20,183.0,405.0,49.16666666666667,194.0367380351314,40.0,P6->P4->P15->P5->P19->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P3->P11
8,AStarOnly,20,174.0,390.00000000000006,49.16666666666667,201.82130492764543,40.0,P6->P4->P15->P5->P19->P3->P13->P20->P9->P16->P2->P11->P8->P18->P17->P1->P10->P12->P7->P14
8,Proposed-Balanced,20,260.0,533.3333333333334,200.83333333333337,240.14178650549567,20.0,P18->P17->P8->P19->P11->P16->P9->P20->P13->P3->P4->P6->P15->P5->P10->P12->P7->P14->P1->P2
8,RH-Proposed-v1,20,270.0,550.0,205.83333333333337,240.17394635511474,20.0,P18->P17->P8->P19->P11->P16->P20->P9->P13->P3->P4->P6->P10->P12->P7->P1->P14->P2->P5->P15
8,RH-Proposed-v2,20,254.0,523.3333333333334,67.5,203.3385134334324,40.0,P6->P4->P8->P18->P19->P11->P16->P20->P12->P10->P7->P17->P3->P13->P2->P9->P14->P1->P5->P15
9,NNF,20,166.0,376.66666666666663,205.27777777777774,166.57672904402793,20.0,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,AStarOnly,20,153.0,355.00000000000006,185.55555555555554,165.88956889160423,20.0,P4->P15->P10->P9->P5->P6->P8->P20->P3->P11->P14->P19->P1->P12->P2->P13->P7->P18->P16->P17
9,Proposed-Balanced,20,219.0,465.0000000000001,268.0555555555556,215.57455164244496,20.0,P15->P9->P5->P10->P4->P13->P2->P12->P1->P14->P17->P20->P3->P11->P7->P19->P16->P18->P8->P6
9,RH-Proposed-v1,20,225.0,475.00000000000006,267.7777777777778,226.85619789507732,20.0,P15->P10->P4->P5->P9->P1->P12->P2->P13->P20->P17->P3->P16->P18->P7->P19->P14->P11->P8->P6
9,RH-Proposed-v2,20,209.0,448.33333333333337,179.7222222222222,180.15564138689285,40.0,P4->P15->P1->P12->P13->P2->P19->P14->P20->P3->P17->P6->P8->P5->P9->P10->P11->P7->P18->P16
10,NNF,19,118.0,291.66666666666674,209.33333333333334,177.0679915055636,0.0,P10->P9->P17->P13->P5->P18->P3->P12->P8->P7->P11->P14->P4->P2->P1->P20->P15->P19->P16
10,AStarOnly,19,121.0,296.66666666666674,220.00000000000006,178.4921620447438,0.0,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P19->P15->P20->P1->P2
10,Proposed-Balanced,19,202.0,431.66666666666663,108.00000000000003,171.9305791915998,80.0,P10->P8->P11->P7->P2->P4->P16->P19->P20->P15->P14->P1->P12->P3->P18->P13->P9->P17->P5
