seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,algorithm_runtime_ms,task_sequence
2,Priority-Greedy,20,304.0,606.6666666666667,168.33333333333334,228.49482627130104,100.0,"P11,P2,P1,P15",100.0,93.33333333333334,1,31.76576498663053,P5->P20->P7->P11->P15->P1->P2->P14->P4->P18->P6->P13->P3->P10->P8->P17->P9->P19->P16->P12
2,Deadline-Greedy,20,274.0,556.6666666666667,157.66666666666669,209.13974927724814,100.0,"P11,P2,P1,P15",100.0,93.33333333333336,1,32.40460000233725,P20->P5->P7->P11->P15->P1->P2->P14->P4->P17->P18->P6->P13->P3->P10->P8->P12->P9->P19->P16
3,AStarOnly,19,130.0,311.6666666666667,179.44444444444446,167.67391146664556,20.0,"P8,P16,P5,P12",50.0,97.91666666666666,0,44.667196983937174,P10->P6->P7->P1->P14->P16->P8->P9->P3->P12->P19->P18->P17->P13->P4->P15->P2->P20->P5
3,Proposed-Balanced,19,189.0,410.0,125.0,159.36214425006716,40.0,"P6,P15,P5,P11",25.0,193.75,1,45.925473037641495,P10->P9->P16->P14->P8->P1->P15->P2->P5->P20->P12->P19->P18->P17->P13->P3->P7->P6->P4
3,RH-v2-Full,19,184.0,401.6666666666667,135.27777777777777,171.6631837685943,80.0,"P7,P15,P6,P11",75.0,117.08333333333333,1,910.4064360144548,P9->P16->P1->P15->P7->P6->P14->P8->P3->P12->P19->P17->P13->P18->P2->P20->P5->P4->P10
3,RH-v2-Light,19,184.0,401.6666666666667,136.38888888888889,175.3827101099751,80.0,"P7,P15,P6,P11",75.0,119.58333333333333,1,426.1716459877789,P9->P16->P1->P15->P14->P7->P6->P8->P3->P12->P18->P17->P13->P5->P2->P20->P19->P4->P10
3,DRF-RH-Full,19,186.0,404.99999999999994,136.66666666666666,171.87943002408676,80.0,"P7,P15,P6,P11",25.0,142.49999999999997,1,97.42129198275506,P9->P16->P1->P14->P15->P8->P12->P3->P7->P6->P2->P20->P5->P17->P13->P18->P19->P4->P10
3,DRF-RH-Light,19,202.0,431.6666666666667,115.83333333333333,165.7605012012772,80.0,"P7,P15,P6,P11",25.0,220.83333333333331,1,72.513552964665,P9->P16->P1->P14->P15->P8->P12->P3->P18->P17->P13->P2->P20->P5->P7->P6->P19->P4->P10
3,Priority-Greedy,19,270.0,545.0,121.66666666666664,204.53041953276102,80.0,"P7,P15,P6,P11",50.0,205.83333333333334,1,45.59228400466964,P9->P1->P16->P15->P7->P12->P2->P13->P17->P5->P8->P14->P6->P3->P19->P18->P20->P4->P10
3,Deadline-Greedy,19,236.0,488.3333333333333,132.2222222222222,188.8933246363356,80.0,"P7,P15,P6,P11",75.0,136.25,1,46.0535769816488,P9->P1->P16->P15->P7->P6->P12->P3->P8->P2->P13->P17->P18->P19->P14->P5->P20->P4->P10
4,AStarOnly,20,180.0,400.00000000000006,216.6666666666667,199.48933476951882,0.0,"P13,P11,P6,P12",25.0,172.08333333333337,0,33.41212501982227,P20->P10->P9->P2->P13->P15->P18->P19->P16->P6->P5->P3->P8->P12->P7->P1->P4->P11->P17->P14
4,Proposed-Balanced,20,299.0,598.3333333333334,196.66666666666669,295.4467512980284,0.0,"P13,P10,P6,P12",50.0,205.83333333333334,1,36.23419802170247,P20->P11->P9->P12->P6->P3->P5->P16->P8->P14->P19->P17->P10->P1->P7->P13->P15->P18->P2->P4
4,RH-v2-Full,20,227.0,478.33333333333337,123.33333333333331,209.8600155741505,0.0,"P13,P11,P6,P12",50.0,133.33333333333331,1,732.2545070201159,P20->P10->P9->P11->P17->P3->P6->P5->P16->P8->P12->P7->P1->P13->P15->P2->P18->P19->P14->P4
4,RH-v2-Light,20,266.0,543.3333333333334,85.0,222.5016199650202,20.0,"P13,P11,P7,P12",25.0,156.25,1,354.73521501990035,P20->P9->P3->P6->P16->P19->P11->P17->P1->P7->P12->P8->P5->P13->P15->P2->P10->P4->P14->P18
4,DRF-RH-Full,20,247.0,511.66666666666674,110.0,219.62747386403967,20.0,"P13,P10,P6,P12",25.0,147.5,1,92.18168503139168,P20->P9->P11->P3->P5->P6->P16->P8->P12->P7->P1->P10->P13->P15->P18->P17->P19->P14->P4->P2
4,DRF-RH-Light,20,250.0,516.6666666666667,85.0,228.32559296168043,20.0,"P13,P11,P7,P12",25.0,148.75000000000003,1,66.42923300387338,P20->P9->P3->P5->P6->P16->P11->P17->P1->P7->P12->P8->P15->P13->P2->P10->P4->P14->P19->P18
4,Priority-Greedy,20,312.0,619.9999999999999,193.33333333333334,251.94962744741528,0.0,"P12,P9,P6,P10",75.0,130.41666666666666,1,35.24426597869024,P20->P11->P17->P9->P12->P3->P6->P5->P16->P19->P15->P10->P1->P7->P8->P4->P13->P18->P2->P14
4,Deadline-Greedy,20,300.0,600.0,198.33333333333334,241.42413475959506,0.0,"P12,P9,P6,P10",75.0,79.16666666666667,1,33.91804499551654,P20->P11->P17->P9->P10->P12->P3->P6->P5->P16->P19->P15->P13->P18->P1->P7->P8->P4->P2->P14
5,AStarOnly,20,207.0,445.0000000000001,194.72222222222226,210.95418778831691,40.0,"P7,P20,P1,P4",75.0,119.58333333333336,0,33.73616200406104,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
5,Proposed-Balanced,20,289.0,581.6666666666667,135.00000000000003,232.0898492011354,80.0,"P8,P20,P1,P4",75.0,162.08333333333334,1,35.09443497750908,P14->P6->P10->P1->P8->P4->P7->P19->P9->P5->P18->P2->P15->P12->P16->P13->P17->P11->P20->P3
5,RH-v2-Full,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,"P8,P20,P1,P4",50.0,152.08333333333334,1,764.1867080237716,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,RH-v2-Light,20,263.0,538.3333333333333,105.27777777777777,205.6798279919902,80.0,"P8,P20,P1,P4",75.0,146.66666666666669,1,352.23682201467454,P14->P9->P6->P1->P4->P7->P8->P19->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-Full,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,"P8,P20,P1,P4",50.0,152.08333333333334,1,93.87106401845813,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,DRF-RH-Light,20,263.0,538.3333333333333,105.27777777777777,205.6798279919902,80.0,"P8,P20,P1,P4",75.0,146.66666666666669,1,71.39525498496369,P14->P9->P6->P1->P4->P7->P8->P19->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,Priority-Greedy,20,359.0,698.3333333333335,143.61111111111111,261.8423697074215,80.0,"P9,P20,P1,P4",75.0,151.66666666666669,1,34.84265401493758,P14->P6->P7->P4->P9->P1->P19->P8->P17->P16->P18->P10->P5->P12->P15->P11->P20->P13->P2->P3
5,Deadline-Greedy,20,315.0,625.0,111.66666666666667,223.9153494667263,80.0,"P8,P20,P1,P4",75.0,154.16666666666666,1,35.34076100913808,P14->P6->P9->P4->P7->P1->P8->P19->P10->P18->P12->P16->P17->P11->P5->P20->P13->P15->P2->P3
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,214.07655380590572,40.0,"P6,P5,P2,P13",75.0,118.33333333333333,0,37.269108986947685,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,Proposed-Balanced,20,233.0,488.33333333333337,177.66666666666669,184.34657472723458,40.0,"P7,P6,P2,P14",25.0,153.75,1,35.40474298642948,P10->P17->P5->P2->P20->P13->P18->P7->P12->P16->P14->P4->P9->P15->P6->P3->P8->P11->P1->P19
6,RH-v2-Full,20,209.0,448.33333333333337,107.0,156.23926959438472,40.0,"P7,P6,P2,P14",50.0,127.91666666666669,1,662.2115439968184,P10->P17->P5->P2->P6->P3->P18->P12->P16->P14->P9->P4->P20->P13->P15->P11->P8->P1->P7->P19
6,RH-v2-Light,20,217.0,461.66666666666674,107.0,161.31605044547834,40.0,"P7,P6,P2,P14",50.0,126.6666666666667,1,319.7674539987929,P10->P17->P5->P2->P6->P3->P18->P12->P16->P14->P9->P20->P13->P15->P11->P8->P1->P7->P4->P19
6,DRF-RH-Full,20,209.0,448.33333333333337,107.0,156.23926959438472,40.0,"P7,P6,P2,P14",50.0,127.91666666666669,1,96.31659596925601,P10->P17->P5->P2->P6->P3->P18->P12->P16->P14->P9->P4->P20->P13->P15->P11->P8->P1->P7->P19
6,DRF-RH-Light,20,217.0,461.66666666666674,107.0,161.31605044547834,40.0,"P7,P6,P2,P14",50.0,126.6666666666667,1,68.69473896222189,P10->P17->P5->P2->P6->P3->P18->P12->P16->P14->P9->P20->P13->P15->P11->P8->P1->P7->P4->P19
6,Priority-Greedy,20,342.0,670.0000000000001,150.66666666666669,226.4222473269449,80.0,"P7,P6,P2,P14",25.0,297.50000000000006,1,37.83166501671076,P5->P10->P18->P12->P16->P20->P2->P3->P13->P17->P15->P6->P8->P11->P7->P9->P14->P4->P19->P1
6,Deadline-Greedy,20,302.0,603.3333333333335,154.00000000000003,213.7566863861759,60.0,"P7,P6,P2,P14",25.0,301.25000000000006,1,36.76578699378297,P5->P10->P20->P18->P12->P16->P2->P3->P6->P8->P11->P13->P17->P15->P19->P4->P14->P9->P7->P1
7,AStarOnly,20,188.0,413.33333333333337,187.91666666666666,178.74193177674218,20.0,"P6,P15,P13,P16",50.0,105.41666666666666,0,30.765580013394356,P12->P5->P10->P4->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P18->P17->P8->P1->P3->P9
7,Proposed-Balanced,20,301.0,601.6666666666667,151.24999999999997,231.52393640102957,60.0,"P5,P14,P11,P15",75.0,102.91666666666669,1,30.734807951375842,P12->P20->P6->P11->P14->P16->P15->P13->P7->P5->P1->P10->P4->P2->P3->P8->P18->P19->P9->P17
7,RH-v2-Full,20,212.0,453.33333333333326,90.41666666666666,175.36651473458733,40.0,"P6,P14,P11,P16",75.0,90.83333333333334,1,653.6990040331148,P12->P3->P15->P13->P16->P14->P11->P20->P6->P4->P10->P5->P1->P18->P17->P8->P2->P7->P19->P9
7,RH-v2-Light,20,206.0,443.3333333333333,90.41666666666666,173.49128262954653,40.0,"P6,P14,P11,P16",75.0,90.83333333333334,1,296.8212250270881,P12->P3->P15->P13->P16->P14->P11->P20->P6->P5->P10->P1->P18->P17->P8->P4->P7->P2->P19->P9
7,DRF-RH-Full,20,233.0,488.33333333333337,100.83333333333334,183.20824809712713,40.0,"P6,P14,P11,P16",50.0,91.25,1,88.00843503559008,P12->P3->P15->P13->P2->P16->P14->P11->P6->P20->P18->P1->P5->P10->P4->P8->P17->P19->P9->P7
7,DRF-RH-Light,20,210.0,450.00000000000006,94.58333333333334,177.41212399392668,40.0,"P6,P14,P11,P16",50.0,99.16666666666669,1,61.9670560117811,P12->P3->P15->P13->P2->P16->P14->P11->P20->P6->P5->P10->P4->P8->P18->P17->P1->P7->P19->P9
7,Priority-Greedy,20,323.0,638.3333333333334,84.16666666666669,221.46962679709316,80.0,"P5,P14,P10,P15",75.0,102.08333333333334,1,31.835391011554748,P12->P20->P11->P15->P3->P5->P10->P13->P14->P16->P6->P4->P1->P18->P9->P2->P7->P19->P8->P17
7,Deadline-Greedy,20,262.0,536.6666666666666,98.75000000000001,217.50005088603942,60.0,"P5,P14,P10,P15",75.0,124.58333333333333,1,31.808272004127502,P12->P20->P11->P15->P13->P5->P10->P3->P6->P4->P14->P16->P2->P7->P1->P18->P8->P17->P19->P9
8,AStarOnly,20,174.0,390.00000000000006,49.16666666666667,201.82130492764543,40.0,"P1,P8,P14,P7",0.0,299.58333333333337,0,32.98861801158637,P6->P4->P15->P5->P19->P3->P13->P20->P9->P16->P2->P11->P8->P18->P17->P1->P10->P12->P7->P14
8,Proposed-Balanced,20,256.0,526.6666666666666,288.3333333333333,233.8565926427822,0.0,"P1,P6,P13,P5",50.0,112.5,1,35.13688000384718,P18->P17->P8->P6->P5->P19->P11->P13->P20->P9->P16->P10->P12->P1->P7->P14->P3->P4->P15->P2
8,RH-v2-Full,20,222.0,470.0,129.16666666666669,195.57448435726855,20.0,"P1,P9,P15,P7",25.0,198.75,1,718.6110760085285,P6->P4->P8->P18->P10->P7->P12->P9->P20->P13->P19->P5->P15->P11->P16->P2->P3->P17->P1->P14
8,RH-v2-Light,20,242.0,503.3333333333333,39.16666666666667,193.00602024732183,40.0,"P1,P8,P14,P7",25.0,172.91666666666666,1,328.9880150114186,P6->P4->P19->P8->P18->P10->P12->P7->P14->P9->P16->P20->P13->P3->P11->P15->P5->P17->P1->P2
8,DRF-RH-Full,20,198.0,430.0,39.16666666666667,177.78330603631872,40.0,"P1,P8,P14,P7",50.0,106.25000000000001,1,93.56837096856907,P6->P4->P19->P8->P18->P17->P1->P10->P12->P7->P14->P9->P16->P20->P13->P3->P2->P11->P5->P15
8,DRF-RH-Light,20,244.0,506.66666666666663,39.16666666666667,194.41762280414162,40.0,"P1,P8,P14,P7",25.0,168.33333333333334,1,66.04608299676329,P6->P4->P19->P8->P18->P10->P12->P7->P14->P9->P16->P20->P13->P11->P15->P5->P17->P1->P3->P2
8,Priority-Greedy,20,280.0,566.6666666666667,78.33333333333334,223.63990003940037,40.0,"P1,P7,P14,P6",50.0,125.83333333333334,1,35.30091303400695,P19->P11->P4->P6->P18->P10->P7->P12->P8->P17->P1->P14->P9->P16->P13->P20->P3->P5->P15->P2
8,Deadline-Greedy,20,276.0,560.0,78.33333333333334,224.12857536844513,40.0,"P1,P7,P14,P6",25.0,130.41666666666669,1,35.53420299431309,P19->P11->P4->P6->P18->P8->P10->P7->P12->P17->P1->P14->P9->P16->P13->P20->P3->P5->P15->P2
9,AStarOnly,20,153.0,355.00000000000006,185.55555555555554,165.88956889160423,20.0,"P13,P9,P14,P11",25.0,117.91666666666669,0,30.975089001003653,P4->P15->P10->P9->P5->P6->P8->P20->P3->P11->P14->P19->P1->P12->P2->P13->P7->P18->P16->P17
9,Proposed-Balanced,20,251.0,518.3333333333335,361.66666666666674,256.8061139907601,0.0,"P13,P10,P14,P11",50.0,92.91666666666669,1,32.23890601657331,P15->P9->P5->P10->P13->P2->P1->P14->P12->P11->P17->P20->P3->P8->P16->P18->P7->P19->P4->P6
9,RH-v2-Full,20,198.0,430.00000000000006,187.7777777777778,172.08136398410085,40.0,"P13,P10,P14,P11",50.0,104.16666666666666,1,609.6087740152143,P4->P15->P1->P14->P12->P2->P13->P10->P9->P6->P5->P20->P17->P3->P11->P19->P7->P18->P16->P8
9,RH-v2-Light,20,205.0,441.6666666666667,186.94444444444446,186.94064203718122,40.0,"P13,P10,P14,P11",50.0,104.58333333333333,1,300.2695390023291,P4->P15->P1->P14->P12->P13->P2->P10->P9->P6->P20->P3->P17->P16->P11->P19->P7->P18->P8->P5
9,DRF-RH-Full,20,185.0,408.3333333333333,190.0,177.73627422725139,20.0,"P13,P10,P14,P11",25.0,95.41666666666667,1,85.27344994945452,P4->P15->P1->P14->P19->P12->P2->P13->P10->P9->P6->P20->P3->P11->P7->P18->P17->P16->P8->P5
9,DRF-RH-Light,20,187.0,411.66666666666674,183.61111111111111,176.1097580722574,20.0,"P13,P10,P14,P11",25.0,119.58333333333334,1,57.71336395991966,P4->P15->P1->P14->P19->P12->P2->P13->P10->P9->P6->P20->P3->P17->P16->P18->P7->P11->P8->P5
9,Priority-Greedy,20,330.0,649.9999999999999,260.8333333333333,305.02452834736357,60.0,"P12,P9,P13,P10",75.0,141.66666666666666,1,31.807101040612906,P15->P4->P17->P12->P13->P9->P1->P7->P14->P6->P5->P10->P2->P20->P3->P18->P16->P8->P11->P19
9,Deadline-Greedy,20,272.0,553.3333333333334,227.5,229.1973965843807,20.0,"P13,P9,P14,P10",75.0,65.0,1,32.253489014692605,P15->P1->P12->P13->P9->P10->P4->P14->P17->P20->P6->P5->P7->P19->P2->P11->P3->P16->P18->P8
10,AStarOnly,19,121.0,296.66666666666674,220.00000000000006,178.4921620447438,0.0,"P12,P1,P8,P4",0.0,159.16666666666669,0,51.890861010178924,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P19->P15->P20->P1->P2
10,Proposed-Balanced,19,204.0,434.99999999999994,122.6666666666667,167.86468513935768,60.0,"P13,P1,P9,P4",25.0,146.24999999999997,1,51.64495704229921,P10->P8->P11->P7->P4->P16->P19->P20->P14->P2->P1->P15->P13->P9->P17->P5->P3->P18->P12
10,RH-v2-Full,19,213.0,450.0,100.99999999999999,164.8225003815374,80.0,"P13,P1,P10,P4",50.0,89.16666666666667,1,998.7741840304807,P8->P7->P11->P4->P2->P1->P20->P19->P16->P13->P5->P10->P9->P17->P14->P12->P3->P18->P15
10,RH-v2-Light,19,204.0,435.0,103.0,170.48105312823068,80.0,"P13,P1,P10,P4",50.0,104.16666666666667,1,457.3703979840502,P8->P11->P7->P4->P2->P1->P20->P19->P16->P14->P3->P13->P5->P10->P9->P17->P15->P18->P12
10,DRF-RH-Full,19,203.0,433.33333333333337,100.99999999999999,167.88629876993033,80.0,"P13,P1,P10,P4",50.0,100.00000000000001,1,106.09403601847589,P8->P7->P11->P4->P2->P1->P20->P19->P16->P14->P13->P5->P10->P9->P17->P18->P3->P12->P15
