seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,algorithm_runtime_ms,task_sequence
5,RH-v2-Full,20,255.0,525.0,111.11111111111113,197.62382083438467,80.0,"P8,P20,P1,P4",50.0,152.08333333333334,1,756.3482690020464,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,RH-v2-Light,20,263.0,538.3333333333333,105.27777777777777,205.6798279919902,80.0,"P8,P20,P1,P4",75.0,146.66666666666669,1,353.5669870325364,P14->P9->P6->P1->P4->P7->P8->P19->P5->P10->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,214.07655380590572,40.0,"P6,P5,P2,P13",75.0,118.33333333333333,0,37.14697703253478,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,Proposed-Balanced,20,233.0,488.33333333333337,177.66666666666669,184.34657472723458,40.0,"P7,P6,P2,P14",25.0,153.75,1,35.27831501560286,P10->P17->P5->P2->P20->P13->P18->P7->P12->P16->P14->P4->P9->P15->P6->P3->P8->P11->P1->P19
6,RH-v2-Full,20,209.0,448.33333333333337,107.0,156.23926959438472,40.0,"P7,P6,P2,P14",50.0,127.91666666666669,1,662.9901679698378,P10->P17->P5->P2->P6->P3->P18->P12->P16->P14->P9->P4->P20->P13->P15->P11->P8->P1->P7->P19
6,RH-v2-Light,20,217.0,461.66666666666674,107.0,161.31605044547834,40.0,"P7,P6,P2,P14",50.0,126.6666666666667,1,319.4604860036634,P10->P17->P5->P2->P6->P3->P18->P12->P16->P14->P9->P20->P13->P15->P11->P8->P1->P7->P4->P19
7,AStarOnly,20,188.0,413.33333333333337,187.91666666666666,178.74193177674218,20.0,"P6,P15,P13,P16",50.0,105.41666666666666,0,30.26264102663845,P12->P5->P10->P4->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P18->P17->P8->P1->P3->P9
7,Proposed-Balanced,20,301.0,601.6666666666667,151.24999999999997,231.52393640102957,60.0,"P5,P14,P11,P15",75.0,102.91666666666669,1,31.00004995940253,P12->P20->P6->P11->P14->P16->P15->P13->P7->P5->P1->P10->P4->P2->P3->P8->P18->P19->P9->P17
7,RH-v2-Full,20,212.0,453.33333333333326,90.41666666666666,175.36651473458733,40.0,"P6,P14,P11,P16",75.0,90.83333333333334,1,654.9606979824603,P12->P3->P15->P13->P16->P14->P11->P20->P6->P4->P10->P5->P1->P18->P17->P8->P2->P7->P19->P9
7,RH-v2-Light,20,206.0,443.3333333333333,90.41666666666666,173.49128262954653,40.0,"P6,P14,P11,P16",75.0,90.83333333333334,1,290.8180669764988,P12->P3->P15->P13->P16->P14->P11->P20->P6->P5->P10->P1->P18->P17->P8->P4->P7->P2->P19->P9
8,AStarOnly,20,174.0,390.00000000000006,49.16666666666667,201.82130492764543,40.0,"P1,P8,P14,P7",0.0,299.58333333333337,0,32.451261999085546,P6->P4->P15->P5->P19->P3->P13->P20->P9->P16->P2->P11->P8->P18->P17->P1->P10->P12->P7->P14
8,Proposed-Balanced,20,256.0,526.6666666666666,288.3333333333333,233.8565926427822,0.0,"P1,P6,P13,P5",50.0,112.5,1,34.78301502764225,P18->P17->P8->P6->P5->P19->P11->P13->P20->P9->P16->P10->P12->P1->P7->P14->P3->P4->P15->P2
8,RH-v2-Full,20,222.0,470.0,129.16666666666669,195.57448435726855,20.0,"P1,P9,P15,P7",25.0,198.75,1,707.8870179830119,P6->P4->P8->P18->P10->P7->P12->P9->P20->P13->P19->P5->P15->P11->P16->P2->P3->P17->P1->P14
8,RH-v2-Light,20,242.0,503.3333333333333,39.16666666666667,193.00602024732183,40.0,"P1,P8,P14,P7",25.0,172.91666666666666,1,328.1612819992006,P6->P4->P19->P8->P18->P10->P12->P7->P14->P9->P16->P20->P13->P3->P11->P15->P5->P17->P1->P2
9,AStarOnly,20,153.0,355.00000000000006,185.55555555555554,165.88956889160423,20.0,"P13,P9,P14,P11",25.0,117.91666666666669,0,30.896821001078933,P4->P15->P10->P9->P5->P6->P8->P20->P3->P11->P14->P19->P1->P12->P2->P13->P7->P18->P16->P17
9,Proposed-Balanced,20,251.0,518.3333333333335,361.66666666666674,256.8061139907601,0.0,"P13,P10,P14,P11",50.0,92.91666666666669,1,32.38620702177286,P15->P9->P5->P10->P13->P2->P1->P14->P12->P11->P17->P20->P3->P8->P16->P18->P7->P19->P4->P6
9,RH-v2-Full,20,198.0,430.00000000000006,187.7777777777778,172.08136398410085,40.0,"P13,P10,P14,P11",50.0,104.16666666666666,1,621.8038420192897,P4->P15->P1->P14->P12->P2->P13->P10->P9->P6->P5->P20->P17->P3->P11->P19->P7->P18->P16->P8
9,RH-v2-Light,20,205.0,441.6666666666667,186.94444444444446,186.94064203718122,40.0,"P13,P10,P14,P11",50.0,104.58333333333333,1,299.5091259945184,P4->P15->P1->P14->P12->P13->P2->P10->P9->P6->P20->P3->P17->P16->P11->P19->P7->P18->P8->P5
10,AStarOnly,19,121.0,296.66666666666674,220.00000000000006,178.4921620447438,0.0,"P12,P1,P8,P4",0.0,159.16666666666669,0,54.142733046319336,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P19->P15->P20->P1->P2
10,Proposed-Balanced,19,204.0,434.99999999999994,122.6666666666667,167.86468513935768,60.0,"P13,P1,P9,P4",25.0,146.24999999999997,1,51.746512996032834,P10->P8->P11->P7->P4->P16->P19->P20->P14->P2->P1->P15->P13->P9->P17->P5->P3->P18->P12
10,RH-v2-Full,19,213.0,450.0,100.99999999999999,164.8225003815374,80.0,"P13,P1,P10,P4",50.0,89.16666666666667,1,995.0212969561107,P8->P7->P11->P4->P2->P1->P20->P19->P16->P13->P5->P10->P9->P17->P14->P12->P3->P18->P15
10,RH-v2-Light,19,204.0,435.0,103.0,170.48105312823068,80.0,"P13,P1,P10,P4",50.0,104.16666666666667,1,457.76072703301907,P8->P11->P7->P4->P2->P1->P20->P19->P16->P14->P3->P13->P5->P10->P9->P17->P15->P18->P12
11,AStarOnly,20,142.0,336.66666666666663,98.0,157.68439698677588,60.0,"P8,P7,P10,P2",25.0,69.58333333333331,0,30.477507039904594,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P9->P6->P16->P19->P11->P17->P12
11,Proposed-Balanced,20,245.0,508.3333333333333,77.0,201.29450162518216,80.0,"P9,P8,P11,P4",75.0,123.33333333333334,1,31.04917297605425,P3->P13->P2->P20->P8->P4->P9->P6->P7->P10->P15->P19->P11->P18->P5->P17->P12->P16->P1->P14
11,RH-v2-Full,20,207.0,444.99999999999994,70.33333333333334,163.02771616562055,80.0,"P8,P7,P10,P2",100.0,44.166666666666664,1,605.7334060315043,P3->P20->P13->P2->P8->P10->P7->P4->P15->P9->P6->P19->P11->P18->P17->P12->P5->P14->P1->P16
11,RH-v2-Light,20,213.0,454.99999999999994,70.33333333333334,165.71815191276858,80.0,"P8,P7,P10,P2",100.0,44.166666666666664,1,277.340569999069,P3->P20->P13->P2->P8->P10->P7->P4->P15->P9->P6->P19->P18->P17->P12->P5->P11->P16->P1->P14
12,AStarOnly,20,164.0,373.33333333333337,122.40740740740742,155.8081251560957,80.0,"P4,P20,P8,P11",25.0,158.75,0,27.710284979548305,P7->P19->P3->P16->P14->P8->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P1
12,Proposed-Balanced,20,220.0,466.66666666666674,180.55555555555557,197.54142926923697,60.0,"P4,P20,P8,P11",50.0,172.08333333333337,1,29.164684005081654,P19->P7->P3->P16->P20->P4->P18->P12->P17->P8->P1->P6->P10->P15->P14->P9->P2->P5->P11->P13
12,RH-v2-Full,20,204.0,440.00000000000006,125.92592592592592,160.76273760325054,80.0,"P3,P20,P6,P10",50.0,88.33333333333334,1,542.7669109776616,P7->P19->P16->P3->P18->P12->P6->P10->P20->P4->P13->P9->P5->P2->P14->P8->P1->P15->P17->P11
12,RH-v2-Light,20,206.0,443.33333333333326,109.25925925925925,152.19561455552602,100.0,"P3,P20,P6,P10",50.0,126.66666666666667,1,262.2403079876676,P7->P19->P16->P18->P12->P6->P10->P20->P4->P13->P9->P5->P2->P14->P3->P1->P8->P17->P15->P11
13,AStarOnly,20,191.0,418.33333333333337,223.0,179.83596181026167,20.0,"P11,P18,P12,P7",50.0,165.83333333333334,0,37.71919896826148,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P5->P2->P15->P7->P20
13,Proposed-Balanced,20,253.0,521.6666666666667,205.66666666666669,227.0277312273644,20.0,"P11,P18,P12,P7",75.0,112.91666666666667,1,37.01253002509475,P8->P13->P10->P11->P12->P4->P7->P6->P18->P14->P3->P9->P2->P5->P17->P19->P1->P15->P16->P20
13,RH-v2-Full,20,207.0,445.0,168.66666666666666,171.89220947756013,20.0,"P11,P18,P12,P7",75.0,100.83333333333333,1,737.4739079969004,P8->P13->P10->P11->P9->P18->P7->P6->P14->P3->P4->P17->P12->P2->P5->P16->P20->P15->P1->P19
13,RH-v2-Light,20,216.0,460.0,164.33333333333331,174.48202839120077,20.0,"P11,P18,P12,P7",75.0,99.58333333333334,1,357.49874502653256,P13->P8->P10->P11->P9->P18->P7->P6->P14->P3->P4->P12->P2->P5->P16->P20->P15->P1->P19->P17
14,AStarOnly,20,197.0,428.33333333333337,210.55555555555557,195.41763361254834,20.0,"P8,P10,P9,P15",50.0,192.5,0,32.79339201981202,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P17->P6->P13->P1->P16->P15->P4->P5->P20->P8
14,Proposed-Balanced,20,245.0,508.3333333333333,150.27777777777777,203.71098113421678,80.0,"P6,P8,P7,P13",50.0,129.16666666666666,1,32.20819297712296,P11->P20->P15->P17->P19->P6->P13->P14->P10->P12->P9->P18->P8->P7->P3->P2->P4->P5->P1->P16
14,RH-v2-Full,20,270.0,550.0,170.2777777777778,219.70819482630588,60.0,"P6,P8,P7,P15",50.0,166.25,1,748.6415089806542,P11->P14->P12->P19->P6->P15->P4->P17->P10->P9->P18->P7->P3->P20->P5->P13->P1->P16->P8->P2
14,RH-v2-Light,20,243.0,504.99999999999994,178.88888888888889,212.18548836645246,60.0,"P6,P8,P7,P15",50.0,173.74999999999997,1,346.3902939693071,P11->P14->P12->P19->P6->P17->P15->P4->P10->P9->P18->P7->P3->P2->P20->P5->P13->P1->P16->P8
15,AStarOnly,20,183.0,405.0,200.41666666666666,162.51697887093232,0.0,"P14,P19,P17,P1",0.0,212.91666666666669,0,30.338254990056157,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,Proposed-Balanced,20,264.0,540.0,130.83333333333334,231.32694230871417,60.0,"P14,P18,P16,P1",50.0,137.91666666666669,1,30.755902000237256,P20->P6->P4->P18->P13->P10->P16->P14->P1->P8->P19->P3->P17->P12->P7->P2->P11->P15->P5->P9
15,RH-v2-Full,20,258.0,530.0,89.16666666666667,203.74434749893123,60.0,"P14,P18,P16,P1",50.0,182.9166666666667,1,626.0897720349021,P6->P20->P4->P13->P19->P14->P16->P7->P1->P17->P8->P3->P12->P18->P10->P2->P11->P5->P15->P9
15,RH-v2-Light,20,252.0,520.0,108.33333333333333,199.68058185758588,60.0,"P14,P18,P16,P1",0.0,195.41666666666666,1,323.3901819912717,P6->P20->P4->P13->P19->P8->P17->P7->P16->P14->P1->P3->P12->P18->P10->P5->P15->P9->P11->P2
16,AStarOnly,20,195.0,425.0,425.0,224.45524062374187,0.0,"P5,P11,P7,P15",25.0,115.83333333333333,0,30.04583000438288,P6->P13->P10->P11->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P20->P3->P9->P4
16,Proposed-Balanced,20,265.0,541.6666666666666,113.33333333333334,262.51236998097653,20.0,"P5,P9,P6,P13",25.0,211.66666666666669,1,32.77463203994557,P16->P18->P12->P19->P4->P5->P14->P1->P11->P9->P20->P3->P2->P15->P6->P13->P10->P7->P8->P17
16,RH-v2-Full,20,217.0,461.6666666666667,143.33333333333334,218.05338382068464,0.0,"P5,P9,P6,P12",50.0,98.33333333333334,1,663.5489760083146,P16->P15->P18->P12->P5->P19->P4->P11->P9->P20->P3->P14->P2->P1->P6->P13->P10->P7->P8->P17
16,RH-v2-Light,20,233.0,488.3333333333333,178.33333333333334,234.31332321802572,0.0,"P5,P9,P6,P12",75.0,90.41666666666666,1,294.43470697151497,P16->P15->P18->P12->P5->P9->P20->P4->P11->P19->P14->P3->P2->P1->P6->P17->P8->P7->P13->P10
17,AStarOnly,20,161.0,368.3333333333333,368.3333333333333,212.6255228710557,0.0,"P15,P11,P2,P8",0.0,140.0,0,28.835715958848596,P9->P10->P6->P3->P14->P19->P1->P15->P17->P13->P7->P4->P8->P11->P5->P2->P16->P20->P12->P18
17,Proposed-Balanced,20,223.0,471.66666666666674,266.6666666666667,237.94969872722675,0.0,"P15,P11,P2,P8",50.0,174.16666666666669,1,29.36063299421221,P10->P9->P5->P11->P2->P20->P12->P16->P18->P1->P15->P14->P3->P6->P17->P7->P13->P4->P8->P19
17,RH-v2-Full,20,174.0,389.99999999999994,300.0,198.17627316507938,0.0,"P15,P9,P3,P8",25.0,136.25,1,489.24165597418323,P10->P12->P2->P16->P20->P9->P5->P11->P8->P4->P3->P14->P1->P15->P18->P17->P19->P6->P13->P7
17,RH-v2-Light,20,196.0,426.6666666666667,251.66666666666666,205.0482242690821,0.0,"P15,P10,P3,P9",50.0,103.33333333333331,1,242.32560698874295,P5->P12->P2->P20->P16->P9->P10->P3->P14->P1->P17->P18->P15->P4->P8->P11->P6->P19->P13->P7
18,AStarOnly,20,184.0,406.66666666666663,267.77777777777777,182.4900441149442,0.0,"P4,P7,P5,P10",0.0,187.5,0,40.88471597060561,P9->P18->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P4->P17->P20->P7->P2
18,Proposed-Balanced,20,252.0,520.0000000000001,223.8888888888889,224.6880731079512,20.0,"P4,P8,P5,P11",25.0,186.66666666666669,1,42.160974990110844,P18->P9->P7->P5->P19->P15->P3->P1->P16->P10->P14->P11->P8->P12->P6->P20->P4->P17->P13->P2
18,RH-v2-Full,20,279.0,565.0,130.55555555555554,229.51515317903534,40.0,"P4,P8,P5,P10",75.0,73.75,1,790.9023989923298,P18->P7->P16->P5->P10->P14->P8->P1->P3->P4->P17->P6->P12->P20->P2->P19->P15->P11->P9->P13
