seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,path_redundancy_ratio,priority_response_efficiency,task_sequence
2,RH-Proposed-v2,20,176.0,393.3333333333333,120.83333333333333,150.10729390153588,100.0,570.4232190037146,1.1891891891891893,0.5681818181818182,P20->P13->P5->P7->P11->P1->P2->P10->P15->P8->P14->P18->P17->P4->P6->P19->P9->P16->P3->P12
2,Priority-Greedy,20,308.0,613.3333333333333,154.50000000000003,216.42850328545615,100.0,32.11632097372785,2.081081081081081,0.3246753246753247,P5->P20->P7->P11->P15->P14->P4->P18->P6->P13->P1->P2->P10->P8->P17->P3->P9->P19->P16->P12
2,Deadline-Greedy,20,258.0,530.0,144.83333333333331,190.62132671427275,100.0,33.87988300528377,1.7432432432432432,0.3875968992248062,P20->P5->P7->P11->P15->P14->P4->P17->P18->P6->P13->P3->P1->P2->P10->P8->P19->P9->P16->P12
2,TSP-2opt,20,144.0,340.00000000000006,194.50000000000003,187.17468738297558,20.0,50.48750399146229,0.972972972972973,0.1388888888888889,P16->P20->P19->P6->P9->P4->P17->P18->P14->P8->P15->P10->P12->P2->P1->P3->P7->P5->P13->P11
2,DRF-RH-Full,20,182.0,403.3333333333333,107.66666666666667,152.02649151140398,100.0,81.61753200693056,1.2297297297297298,0.5494505494505495,P20->P13->P5->P7->P4->P18->P14->P8->P15->P2->P10->P12->P1->P11->P3->P17->P6->P19->P9->P16
2,DRF-RH-Light,20,224.0,473.3333333333333,118.83333333333333,166.6478299803998,100.0,55.76244497206062,1.5135135135135136,0.44642857142857145,P20->P13->P5->P7->P4->P14->P15->P8->P2->P1->P11->P3->P17->P18->P6->P19->P9->P10->P12->P16
3,NNF,19,142.0,331.66666666666674,147.50000000000003,156.07796654292892,20.0,46.69843998271972,1.0923076923076922,0.14084507042253522,P10->P4->P12->P3->P9->P16->P14->P1->P8->P15->P19->P18->P17->P13->P5->P20->P2->P7->P6
3,AStarOnly,19,130.0,311.6666666666667,179.44444444444446,167.67391146664556,20.0,45.75618600938469,1.0,0.15384615384615385,P10->P6->P7->P1->P14->P16->P8->P9->P3->P12->P19->P18->P17->P13->P4->P15->P2->P20->P5
3,Proposed-Balanced,19,194.0,418.3333333333333,150.0,175.20246310764043,40.0,47.34598897630349,1.4923076923076923,0.20618556701030927,P10->P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P4->P17->P13
3,RH-Proposed-v2,19,180.0,395.0,113.33333333333333,159.68876530980125,80.0,964.4528859644197,1.3846153846153846,0.4444444444444444,P9->P16->P1->P14->P15->P12->P3->P8->P2->P20->P5->P17->P13->P18->P19->P4->P10->P6->P7
